"response","fixed1","fixed2","random","Age.filter","best.model","significant","p.value","sample.size","Rsq.R2m","Rsq.R2c","delta.aic","fixed1.coef","fixed2.coef","int.coef"
"BNPP_root_fine","Aridity","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.add",FALSE,0.05988,96,0.1142,0.683,1.658,0,0.0013,NA
"GPP","Aridity","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,0.00309,254,0.1445,0.9554,1.317,-7e-04,-0.7163,0.0013
"NPP","Aridity","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,5.586e-08,114,0.4329,0.7652,8.734,-1e-04,-0.803,6e-04
"BNPP_root","Aridity","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.001925,104,0.1929,0.761,0.1727,0,2.6958,NA
"BNPP_root_fine","Aridity","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.3103,96,0.04237,0.7223,2.186,NA,NA,NA
"GPP","PotentialEvapotranspiration","mat","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,5.839e-12,227,0.6682,0.9637,1.848,-0.0119,1.2677,NA
"NPP","PotentialEvapotranspiration","mat","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,2.409e-09,98,0.5184,0.8107,1.59,-0.0014,0.2717,NA
"BNPP_root","PotentialEvapotranspiration","mat","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,0.0002304,87,0.3493,0.7669,2.552,0.0026,0.2794,-2e-04
"BNPP_root_fine","PotentialEvapotranspiration","mat","geographic.area/plot.name","age.greater.than.100","mod",TRUE,0.04299,85,0.1107,0.6736,1.196,NA,NA,NA
"GPP","PotentialEvapotranspiration","map","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,4.447e-09,228,0.3861,0.9665,0.6167,0.0103,0.0037,NA
"NPP","PotentialEvapotranspiration","map","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,5.563e-05,99,0.3216,0.7912,1.341,0.0045,4e-04,NA
"BNPP_root","PotentialEvapotranspiration","map","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,0.001001,92,0.2625,0.7861,3.139,0.0032,0.0011,0
"BNPP_root_fine","PotentialEvapotranspiration","map","geographic.area/plot.name","age.greater.than.100","mod.add",FALSE,0.05594,86,0.121,0.6879,0.9741,0.0012,2e-04,NA
"GPP","PotentialEvapotranspiration","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.419e-14,254,0.6919,0.9606,5.326,0.0051,-0.0136,-2e-04
"NPP","PotentialEvapotranspiration","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,1.479e-09,114,0.4906,0.8214,1.889,5e-04,-0.0488,NA
"BNPP_root","PotentialEvapotranspiration","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,2.268e-05,104,0.3484,0.7625,0.5696,-6e-04,-0.0497,0
"BNPP_root_fine","PotentialEvapotranspiration","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.01531,96,0.1611,0.6695,2.368,5e-04,-0.0109,NA
"GPP","PotentialEvapotranspiration","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,8.437e-08,254,0.4535,0.9633,4.134,-0.0061,-0.0986,1e-04
"NPP","PotentialEvapotranspiration","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,2.319e-08,114,0.4595,0.8176,3.497,-0.001,-0.0232,0
"BNPP_root","PotentialEvapotranspiration","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,0.001171,104,0.242,0.7476,0.02268,-1e-04,-0.0139,0
"BNPP_root_fine","PotentialEvapotranspiration","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.03055,96,0.1303,0.6642,2.382,0.0014,0.0042,NA
"GPP","PotentialEvapotranspiration","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,7.644e-05,254,0.2894,0.9608,2.395,0.0465,1e-04,0
"NPP","PotentialEvapotranspiration","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,3.468e-05,114,0.2674,0.8204,3.306,0.0145,0,0
"BNPP_root","PotentialEvapotranspiration","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,3.423e-05,104,0.3054,0.7725,7.015,0.0061,0,0
"BNPP_root_fine","PotentialEvapotranspiration","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.add",FALSE,0.06761,96,0.1099,0.6756,1.194,9e-04,0,NA
"GPP","PotentialEvapotranspiration","Aridity","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.22e-05,254,0.3271,0.9574,6.391,-0.0015,-0.0015,0
"NPP","PotentialEvapotranspiration","Aridity","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,4.719e-08,114,0.4847,0.7562,8.964,-5e-04,-4e-04,0
"BNPP_root","PotentialEvapotranspiration","Aridity","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.001706,104,0.1846,0.7576,2.001,0.0018,0,NA
"BNPP_root_fine","PotentialEvapotranspiration","Aridity","geographic.area/plot.name","age.greater.than.100","mod.add",FALSE,0.05988,96,0.1142,0.683,1.658,0.0013,0,NA
"GPP","PotentialEvapotranspiration","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.14e-05,254,0.3692,0.9617,5.812,0.0301,31.4231,-0.0254
"NPP","PotentialEvapotranspiration","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.625e-06,114,0.3576,0.8108,11.26,0.0105,24.1992,-0.0165
"BNPP_root","PotentialEvapotranspiration","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,3.184e-05,104,0.3428,0.7368,10.84,0.006,10.0693,-0.0077
"BNPP_root_fine","PotentialEvapotranspiration","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.add",FALSE,0.06889,96,0.108,0.6639,0.933,0.0017,-0.3674,NA
"GPP","VapourPressureDeficit","mat","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,2.227e-13,227,0.7025,0.9674,1.984,-17.1778,1.3028,NA
"NPP","VapourPressureDeficit","mat","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,2.562e-09,98,0.5194,0.8105,1.796,-1.4362,0.2613,NA
"BNPP_root","VapourPressureDeficit","mat","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.0007986,87,0.2758,0.768,0.5629,-0.2458,0.1013,NA
"BNPP_root_fine","VapourPressureDeficit","mat","geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.2171,85,0.05202,0.6702,2.287,NA,NA,NA
"GPP","VapourPressureDeficit","map","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,4.785e-08,228,0.2926,0.9644,1.73,8.9426,0.004,NA
"NPP","VapourPressureDeficit","map","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,8.085e-05,99,0.2918,0.7909,1.027,2.0849,-8e-04,0.0023
"BNPP_root","VapourPressureDeficit","map","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,0.005194,92,0.2228,0.7494,0.3723,4.1544,6e-04,-9e-04
"BNPP_root_fine","VapourPressureDeficit","map","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,0.00824,86,0.1919,0.7027,5.655,4.7217,0.0015,-0.0022
"GPP","VapourPressureDeficit","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,4.793e-14,254,0.6818,0.9608,1.541,1.0936,-0.1282,-0.2009
"NPP","VapourPressureDeficit","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,1.296e-09,114,0.492,0.8201,2.19,0.9766,-0.0477,NA
"BNPP_root","VapourPressureDeficit","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.025e-05,104,0.3645,0.7659,2.632,-1.3467,-0.0465,0.0561
"BNPP_root_fine","VapourPressureDeficit","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.01881,96,0.1577,0.674,1.416,0.0194,-0.0136,NA
"GPP","VapourPressureDeficit","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,8.49e-06,254,0.3354,0.9598,2.045,-7.2461,-0.0195,0.1609
"NPP","VapourPressureDeficit","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,5.809e-08,114,0.42,0.7969,0.6113,0.7846,0.0025,0.039
"BNPP_root","VapourPressureDeficit","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.003204,104,0.1928,0.7457,2.311,3.1118,0.0053,NA
"BNPP_root_fine","VapourPressureDeficit","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.add",FALSE,0.07558,96,0.09786,0.6568,1.513,1.7386,0.0056,NA
"GPP","VapourPressureDeficit","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,0.0002065,254,0.2718,0.9598,0.9562,48.0284,1e-04,-1e-04
"NPP","VapourPressureDeficit","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.889e-05,114,0.2753,0.8159,3.555,24.2513,0,0
"BNPP_root","VapourPressureDeficit","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,3.002e-05,104,0.3251,0.7509,7.286,12.7047,0,0
"BNPP_root_fine","VapourPressureDeficit","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.add",FALSE,0.07081,96,0.1102,0.685,1.334,0.5211,0,NA
"GPP","VapourPressureDeficit","Aridity","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,0.00309,254,0.1445,0.9554,1.317,-0.7163,-7e-04,0.0013
"NPP","VapourPressureDeficit","Aridity","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,5.586e-08,114,0.4329,0.7652,8.734,-0.803,-1e-04,6e-04
"BNPP_root","VapourPressureDeficit","Aridity","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.001925,104,0.1929,0.761,0.1727,2.6958,0,NA
"BNPP_root_fine","VapourPressureDeficit","Aridity","geographic.area/plot.name","age.greater.than.100","mod",FALSE,0.1559,96,0.05492,0.6527,2.186,NA,NA,NA
"GPP","VapourPressureDeficit","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.14e-05,254,0.3692,0.9617,5.812,31.4231,0.0301,-0.0254
"NPP","VapourPressureDeficit","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.625e-06,114,0.3576,0.8108,11.26,24.1992,0.0105,-0.0165
"BNPP_root","VapourPressureDeficit","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,3.184e-05,104,0.3428,0.7368,10.84,10.0693,0.006,-0.0077
"BNPP_root_fine","VapourPressureDeficit","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.add",FALSE,0.06889,96,0.108,0.6639,0.933,-0.3674,0.0017,NA
"ANPP","mat","map","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,2.666e-16,198,0.4479,0.8661,0.5053,0.1564,-7e-04,0
"ANPP_foliage","mat","map","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,3.733e-11,68,0.6388,0.8148,2.355,0.1066,-1e-04,NA
"ANPP_woody_stem","mat","map","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,3.403e-09,229,0.244,0.8769,1.123,0.0455,-4e-04,0
"ANPP","mat","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,9.317e-16,202,0.476,0.8404,2.379,0.1169,-0.0148,-9e-04
"ANPP_foliage","mat","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,4.832e-11,69,0.6315,0.8121,2.544,0.1201,0.0049,NA
"ANPP_woody_stem","mat","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,4.653e-09,232,0.2333,0.8807,2.144,0.0983,0.0068,NA
"ANPP","mat","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,3.387e-17,202,0.4828,0.856,6.848,-0.0043,-0.0124,0.0011
"ANPP_foliage","mat","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,5.61e-11,69,0.6346,0.8147,2.529,0.0967,9e-04,NA
"ANPP_woody_stem","mat","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,3.415e-09,232,0.2438,0.8954,1.95,-0.0054,-0.0117,5e-04
"ANPP","mat","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,6.259e-16,202,0.4694,0.8399,1.935,0.2171,0,NA
"ANPP_foliage","mat","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,1.595e-11,69,0.6531,0.8239,2.498,0.1212,0,NA
"ANPP_woody_stem","mat","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,4.365e-09,232,0.2402,0.8801,2.099,0.0821,0,NA
"ANPP","mat","Aridity","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,3.17e-16,202,0.4589,0.8493,5.439,0.1173,-1e-04,0
"ANPP_foliage","mat","Aridity","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,5.907e-11,69,0.6318,0.8151,2.468,0.1003,0,NA
"ANPP_woody_stem","mat","Aridity","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.482e-10,232,0.2343,0.8904,8.64,0.0323,0,0
"ANPP","mat","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,5.253e-17,202,0.4986,0.8412,0.2374,0.2376,-0.002,NA
"ANPP_foliage","mat","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,1.29e-11,69,0.6565,0.8148,2.457,0.1328,-0.0011,NA
"ANPP_woody_stem","mat","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,3.546e-09,232,0.2248,0.8872,0.257,0.145,8e-04,-1e-04
"ANPP","mat","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,5.341e-16,202,0.4597,0.8473,0.4509,0.2758,1.4413,-0.1701
"ANPP_foliage","mat","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,5.911e-11,69,0.6338,0.8105,2.165,0.097,0.0887,NA
"ANPP_woody_stem","mat","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,7.233e-09,232,0.2022,0.8909,0.3504,0.1162,2.0674,-0.1021
"ANPP","map","mat","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,2.666e-16,198,0.4479,0.8661,0.5053,-7e-04,0.1564,0
"ANPP_foliage","map","mat","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,3.733e-11,68,0.6388,0.8148,2.355,-1e-04,0.1066,NA
"ANPP_woody_stem","map","mat","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,3.403e-09,229,0.244,0.8769,1.123,-4e-04,0.0455,0
"ANPP","map","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,5.826e-16,204,0.4377,0.8585,1.666,-2e-04,-0.0406,NA
"ANPP_foliage","map","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,2.79e-10,75,0.5985,0.8248,2.412,-1e-04,-0.0227,NA
"ANPP_woody_stem","map","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,7.395e-08,234,0.1971,0.8888,1.641,0,-0.0146,NA
"ANPP","map","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.026e-08,204,0.2444,0.8904,15.75,0.0016,0.0386,0
"ANPP_foliage","map","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,0.00392,75,0.1934,0.8009,0.8034,6e-04,0.0157,0
"ANPP_woody_stem","map","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,3.611e-06,234,0.1622,0.8961,7.646,7e-04,0.0107,0
"ANPP","map","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,2.327e-09,204,0.2859,0.8848,0.9514,-2e-04,0,NA
"ANPP_foliage","map","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,5.612e-05,75,0.3679,0.8042,0.7107,1e-04,0,NA
"ANPP_woody_stem","map","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,3.692e-06,234,0.1547,0.8964,2.099,1e-04,0,NA
"ANPP","map","Aridity","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.0007554,204,0.1005,0.8438,1.138,0,0,NA
"ANPP_foliage","map","Aridity","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.04245,75,0.1222,0.7361,0.324,1e-04,0,NA
"ANPP_woody_stem","map","Aridity","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,6.656e-06,234,0.1393,0.896,5.563,-2e-04,0,0
"ANPP","map","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,4.906e-07,204,0.228,0.8742,1.316,0,0.0026,NA
"ANPP_foliage","map","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,9.469e-07,75,0.4297,0.7977,2.493,1e-04,0.0021,NA
"ANPP_woody_stem","map","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,8.504e-06,234,0.1698,0.8962,2.094,1e-04,9e-04,NA
"ANPP","map","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,1.487e-05,204,0.1642,0.8464,1.795,1e-04,2.8526,NA
"ANPP_foliage","map","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,4.624e-07,75,0.4237,0.7497,2.51,1e-04,3.0504,NA
"ANPP_woody_stem","map","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,8.266e-06,234,0.1736,0.8828,0.9321,1e-04,1.1692,NA
"ANPP","TempSeasonality","mat","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,9.317e-16,202,0.476,0.8404,2.379,-0.0148,0.1169,-9e-04
"ANPP_foliage","TempSeasonality","mat","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,4.832e-11,69,0.6315,0.8121,2.544,0.0049,0.1201,NA
"ANPP_woody_stem","TempSeasonality","mat","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,4.653e-09,232,0.2333,0.8807,2.144,0.0068,0.0983,NA
"ANPP","TempSeasonality","map","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,5.826e-16,204,0.4377,0.8585,1.666,-0.0406,-2e-04,NA
"ANPP_foliage","TempSeasonality","map","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,2.79e-10,75,0.5985,0.8248,2.412,-0.0227,-1e-04,NA
"ANPP_woody_stem","TempSeasonality","map","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,7.395e-08,234,0.1971,0.8888,1.641,-0.0146,0,NA
"ANPP","TempSeasonality","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.045e-16,259,0.4402,0.8363,4.425,-0.0043,0.0107,-2e-04
"ANPP_foliage","TempSeasonality","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,4.483e-11,99,0.5568,0.8192,2.048,-0.0205,-5e-04,NA
"ANPP_woody_stem","TempSeasonality","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,3.265e-08,263,0.2,0.8303,1.176,-0.0163,-0.0024,NA
"ANPP","TempSeasonality","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,9.907e-16,259,0.4055,0.8336,1.888,-0.0373,0,NA
"ANPP_foliage","TempSeasonality","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,4.064e-11,99,0.5578,0.8169,2.321,-0.0192,0,NA
"ANPP_woody_stem","TempSeasonality","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,6.548e-08,263,0.2082,0.8311,0.1633,-0.0395,0,0
"ANPP","TempSeasonality","Aridity","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,8.845e-16,259,0.4049,0.8387,1.022,-0.0392,0,NA
"ANPP_foliage","TempSeasonality","Aridity","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,4.605e-11,99,0.5576,0.8195,2.145,-0.0203,0,NA
"ANPP_woody_stem","TempSeasonality","Aridity","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,3.693e-08,263,0.2045,0.8233,1.75,-0.0133,0,NA
"ANPP","TempSeasonality","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,7.3e-16,259,0.4122,0.8332,0.278,-0.0408,-5e-04,NA
"ANPP_foliage","TempSeasonality","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,3.22e-11,99,0.5591,0.8173,0.9029,-0.0178,4e-04,NA
"ANPP_woody_stem","TempSeasonality","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,6.331e-08,263,0.2012,0.8325,1.424,-0.0141,1e-04,NA
"ANPP","TempSeasonality","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,9.917e-16,259,0.4067,0.8333,0.06676,-0.0385,-0.1403,NA
"ANPP_foliage","TempSeasonality","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,5.096e-12,99,0.5925,0.8116,1.142,-0.0043,1.8989,-0.0294
"ANPP_woody_stem","TempSeasonality","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,4.694e-08,263,0.2099,0.8306,1.832,-0.013,0.4097,NA
"ANPP","AnnualWetDays","mat","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,3.387e-17,202,0.4828,0.856,6.848,-0.0124,-0.0043,0.0011
"ANPP_foliage","AnnualWetDays","mat","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,5.61e-11,69,0.6346,0.8147,2.529,9e-04,0.0967,NA
"ANPP_woody_stem","AnnualWetDays","mat","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,3.415e-09,232,0.2438,0.8954,1.95,-0.0117,-0.0054,5e-04
"ANPP","AnnualWetDays","map","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.026e-08,204,0.2444,0.8904,15.75,0.0386,0.0016,0
"ANPP_foliage","AnnualWetDays","map","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,0.00392,75,0.1934,0.8009,0.8034,0.0157,6e-04,0
"ANPP_woody_stem","AnnualWetDays","map","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,3.611e-06,234,0.1622,0.8961,7.646,0.0107,7e-04,0
"ANPP","AnnualWetDays","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.045e-16,259,0.4402,0.8363,4.425,0.0107,-0.0043,-2e-04
"ANPP_foliage","AnnualWetDays","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,4.483e-11,99,0.5568,0.8192,2.048,-5e-04,-0.0205,NA
"ANPP_woody_stem","AnnualWetDays","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,3.265e-08,263,0.2,0.8303,1.176,-0.0024,-0.0163,NA
"ANPP","AnnualWetDays","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,4.744e-12,259,0.3551,0.8612,2.074,0.0169,0,NA
"ANPP_foliage","AnnualWetDays","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,2.874e-06,99,0.3831,0.8203,0.1019,0.0059,0,NA
"ANPP_woody_stem","AnnualWetDays","SolarRadiation","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,1.277e-06,263,0.1916,0.8438,2.493,0.0286,0,0
"ANPP","AnnualWetDays","Aridity","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,7.093e-06,259,0.1819,0.8578,2.125,0.0155,0,NA
"ANPP_foliage","AnnualWetDays","Aridity","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,0.0009603,99,0.2233,0.8038,2.284,0.0067,0,NA
"ANPP_woody_stem","AnnualWetDays","Aridity","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,5.276e-05,263,0.1126,0.8216,2.102,2e-04,0,NA
"ANPP","AnnualWetDays","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,7.131e-11,259,0.307,0.8544,2.034,0.0183,0.0028,NA
"ANPP_foliage","AnnualWetDays","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,1.171e-08,99,0.464,0.8203,2.358,0.0064,0.0019,NA
"ANPP_woody_stem","AnnualWetDays","PotentialEvapotranspiration","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,7.52e-06,263,0.1736,0.843,0.8552,0.0022,0.001,NA
"ANPP","AnnualWetDays","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,4.149e-10,259,0.2639,0.8405,0.0944,0.0196,3.9667,NA
"ANPP_foliage","AnnualWetDays","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,9.576e-11,99,0.5238,0.7975,2.031,0.0092,3.1835,NA
"ANPP_woody_stem","AnnualWetDays","VapourPressureDeficit","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,7.106e-06,263,0.1767,0.833,1.929,0.0026,1.4358,NA
"ANPP","SolarRadiation","mat","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,6.259e-16,202,0.4694,0.8399,1.935,0,0.2171,NA
"ANPP_foliage","SolarRadiation","mat","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,1.595e-11,69,0.6531,0.8239,2.498,0,0.1212,NA
"ANPP_woody_stem","SolarRadiation","mat","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,4.365e-09,232,0.2402,0.8801,2.099,0,0.0821,NA
"ANPP","SolarRadiation","map","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,2.327e-09,204,0.2859,0.8848,0.9514,0,-2e-04,NA
"ANPP_foliage","SolarRadiation","map","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,5.612e-05,75,0.3679,0.8042,0.7107,0,1e-04,NA
"ANPP_woody_stem","SolarRadiation","map","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,3.692e-06,234,0.1547,0.8964,2.099,0,1e-04,NA
"ANPP","SolarRadiation","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,9.907e-16,259,0.4055,0.8336,1.888,0,-0.0373,NA
"ANPP_foliage","SolarRadiation","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,4.064e-11,99,0.5578,0.8169,2.321,0,-0.0192,NA
"ANPP_woody_stem","SolarRadiation","TempSeasonality","geographic.area/plot.name","age.greater.than.100","mod.int",TRUE,6.548e-08,263,0.2082,0.8311,0.1633,0,-0.0395,0
"ANPP","SolarRadiation","AnnualWetDays","geographic.area/plot.name","age.greater.than.100","mod.add",TRUE,4.744e-12,259,0.3551,0.8612,2.074,0,0.0169,NA
