"X","site_plot","citation.ID","stand.age","measurement.ID","sites.sitename","plot.name","dominant.life.form","dominant.veg","variable.name.x","date.x","start.date.x","end.date.x","ANPP_canopy","min.dbh","required.citations","ForC.investigator","country","lat","lon","masl","mat","map","geographic.area","biogeog","Koeppen","FAO.ecozone","plot.area","year.establishment.oldest.trees","regrowth.type","regrowth.year","distmrs.type","distmrs.yr","managed","disturbed","history.no.info","biomes","variable.name.y","date.y","start.date.y","end.date.y","ANPP_woody_stem","optional","AnnualMeanTemp","MeanDiurnalRange","Isothermality","TempSeasonality","MaxTWarmestMonth","MinTColdestMonth","TempRangeAnnual","MeanTWetQ","MeanTDryQ","MeanTWarmQ","MeanTColdQ","AnnualPre","PreWetMonth","PreDryMonth","PreSeasonality","PreWetQ","PreDryQ","PreWarmQ","PreColdQ","CloudCover","AnnualFrostDays","AnnualPET","AnnualWetDays"
37,"Canal Flats xeric 2 unmanaged","Comeau_1999_nbfc",70,2567,"Canal Flats xeric 2","unmanaged","woody","2TEN","ANPP_foliage","1984",NA,NA,0.57,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Canada",50.1,-115.25,1340,1.4,634,"129","Nearctic","Dfc","Temperate mountain system","NAC","1914","Initiation of post-disturbance cohort (natural)","NAC","Burned","NAC",0,0,0,"temperate","ANPP_woody_stem","1984",NA,NA,0.91,TRUE,0.5,12.1,0.32,79.86,19.8,-17.2,37,4.2,6.9,10.5,-9.7,710,81,46,18,206,150,180,199,63.3780701754386,290.383596491228,564.793859649123,128.168333333333
38,"Cascade Head 10 unmanaged","Luyssaert_2007_cbob",185,2665,"Cascade Head 10","unmanaged","woody","2TEN","ANPP_foliage","2001",NA,NA,1.59,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",45.0679,-123.8882,255,NA,NA,"137","Nearctic","Csb","Temperate mountain system","NAC","1816","Initiation of post-disturbance cohort (natural)","1816","NAC","NAC",0,0,0,"temperate","ANPP_woody_stem","2001",NA,NA,1.83,TRUE,9.2,10,0.49,37.66,21.1,0.7,20.4,5.2,13.9,14.3,4.8,2747,461,35,66,1313,167,177,1226,69.4952485380117,81.0394736842105,696.477192982456,169.977894736842
39,"Cascade Head 11 unmanaged","Luyssaert_2007_cbob",168,2688,"Cascade Head 11","unmanaged","woody","2TEN","ANPP_foliage","2001",NA,NA,1.22,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",45.0819,-123.9038,236,NA,NA,"137","Nearctic","Csb","Temperate mountain system","NAC","1833","Initiation of post-disturbance cohort (natural)","1833","NAC","NAC",0,0,0,"temperate","ANPP_woody_stem","2001",NA,NA,1.47,TRUE,9.5,9.8,0.49,36.64,21,1.1,19.9,5.5,14,14.4,5.1,2649,440,36,65,1257,167,176,1172,69.4952485380117,81.0394736842105,696.477192982456,169.977894736842
40,"Cascade Head 12 unmanaged","Luyssaert_2007_cbob",178,2711,"Cascade Head 12","unmanaged","woody","2TEN","ANPP_foliage","2001",NA,NA,1.28,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",45.0445,-123.9007,261,NA,NA,"137","Nearctic","Csb","Temperate mountain system","NAC","1823","Initiation of post-disturbance cohort (natural)","1823","NAC","NAC",0,0,0,"temperate","ANPP_woody_stem","2001",NA,NA,1.17,TRUE,9.5,9.8,0.49,37.13,21.1,1.1,20,5.5,14.2,14.5,5.1,2662,444,35,65,1266,166,175,1182,69.4952485380117,81.0394736842105,696.477192982456,169.977894736842
41,"Caxiuana 1 CAX-01 terra firma","Malhi_2004_tacw",999,18279,"Caxiuana 1 CAX-01","terra firma","woody","2TEB","ANPP_litterfall","1996","1994","1999",4.512,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Brazil",-1.7,-51.53,15,26.7,2220,"140","Neotropics","Am","Tropical rainforest","1","NAC","NAC","NAC","No disturbance","1904",0,0,0,"tropical","ANPP_woody_stem","1996","1994","1999",2.538,TRUE,26.8,9.7,0.86,4.56,32.9,21.7,11.2,26.4,27.3,27.3,26.1,2220,312,63,51,913,211,211,812,78.6465643274854,0,1110.22192982456,251.355877192982
42,"Caxiuana 2 CAX-02 terra firma","Malhi_2004_tacw",999,18280,"Caxiuana 2 CAX-02","terra firma","woody","2TEB","ANPP_litterfall","1997","1995","1999",4.3099,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Brazil",-1.7,-51.53,15,26.7,2220,"140","Neotropics","Am","Tropical rainforest","1","NAC","NAC","NAC","No disturbance","1904",0,0,0,"tropical","ANPP_woody_stem","1997","1995","1999",2.0492,TRUE,26.8,9.7,0.86,4.56,32.9,21.7,11.2,26.4,27.3,27.3,26.1,2220,312,63,51,913,211,211,812,78.6465643274854,0,1110.22192982456,251.355877192982
43,"Caxiuana 3 CAX-03","Aragao_2009_aabn",999,18272,"Caxiuana 3","CAX-03","woody","2TEB","ANPP_litterfall","2004","2004","2005",3.854,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Brazil",-1.737,-51.462,NA,26.96,2314,"NAC","Neotropic","Af","Tropical rainforest","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,"tropical","ANPP_woody_stem","2004","2001","2007",1.88,TRUE,26.7,9.8,0.86,4.17,32.9,21.6,11.3,26.5,27.2,27.2,26.1,2193,307,62,52,900,204,204,815,78.2353070175439,0,1111.83421052632,257.378333333333
44,"Caxiuana 4 CAX-06","Aragao_2009_aabn",999,18274,"Caxiuana 4","CAX-06","woody","2TEB","ANPP_litterfall","2004","2004","2005",4.465,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Brazil",-1.72,-51.455,NA,26.96,2314,"NAC","Neotropic","Af","Tropical rainforest","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,"tropical","ANPP_woody_stem","NI","NI","NI",2.0492,TRUE,26.8,9.7,0.85,4.35,32.9,21.6,11.3,26.4,27.3,27.3,26.2,2202,307,64,51,900,209,209,816,78.2353070175439,0,1111.83421052632,257.378333333333
45,"Caxiuana 5 CAX-05","Aragao_2009_aabn",999,18273,"Caxiuana 5","CAX-05","woody","2TEB","ANPP_litterfall","2004","2004","2005",5.264,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Brazil",-1.72,-51.458,NA,26.96,2314,"NAC","Neotropic","Af","Tropical rainforest","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,"tropical","ANPP_woody_stem","2004","2001","2007",2.35,TRUE,26.8,9.7,0.85,4.35,32.9,21.6,11.3,26.4,27.3,27.3,26.2,2202,307,64,51,900,209,209,816,78.2353070175439,0,1111.83421052632,257.378333333333
46,"Caxiuana Drought Control CAX-04 largely undisturbed terra firma forest","Aragao_2009_aabn",999,2992,"Caxiuana Drought Control CAX-04","largely undisturbed terra firma forest","woody","2TEB","ANPP_litterfall",NA,"2004","2006",3.29,NA,"Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Brazil",-1.72,-51.46,47,25.8,2311,"140","Neotropics","Af","Tropical rainforest","1","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","ANPP_woody_stem",NA,"2004","2006",2.444,TRUE,26.8,9.7,0.86,4.15,32.9,21.7,11.2,26.5,27.3,27.3,26.2,2204,307,64,51,900,209,209,816,78.2353070175439,0,1111.83421052632,257.378333333333
47,"Caxiuana Drought Control CAX-04 largely undisturbed terra firma forest","da Costa_2014_eran",999,2980,"Caxiuana Drought Control CAX-04","largely undisturbed terra firma forest","woody","2TEB","ANPP_foliage",NA,"2010","2011",2.07,NA,"Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Brazil",-1.72,-51.46,47,25.8,2311,"140","Neotropics","Af","Tropical rainforest","1","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","ANPP_woody_stem",NA,"2006","2011",2.55,TRUE,26.8,9.7,0.86,4.15,32.9,21.7,11.2,26.5,27.3,27.3,26.2,2204,307,64,51,900,209,209,816,78.2353070175439,0,1111.83421052632,257.378333333333
48,"Caxiuana Terra Preta CAX-08 unmanaged Late successional forest","Aragao_2009_aabn",999,3001,"Caxiuana Terra Preta CAX-08","unmanaged Late successional forest","woody","2TEB","ANPP_litterfall",NA,"2004","2006",5.076,NA,"Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Brazil",-1.72,-51.5,NA,26.89999962,2314,"140","Neotropics","Am","Tropical rainforest","1","NAC","NAC","NAC","No disturbance","1960",0,0,0,"tropical","ANPP_woody_stem",NA,"2004","2006",2.35,TRUE,26.7,9.7,0.85,4.48,32.9,21.5,11.4,26.3,27.2,27.2,26.1,2207,309,63,51,906,208,208,814,78.2353070175439,0,1111.83421052632,257.378333333333
49,"Caxiuana Tower CAX-06 tall primary forest near flux tower site","Aragao_2009_aabn",999,3014,"Caxiuana Tower CAX-06","tall primary forest near flux tower site","woody","2TEB","ANPP_litterfall",NA,"2004","2006",3.572,NA,"Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Brazil",-1.74,-51.46,47,25.8,2311,"140","Neotropics","Af","Tropical rainforest","1","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","ANPP_woody_stem",NA,"2004","2006",1.598,TRUE,26.7,9.8,0.86,4.17,32.9,21.6,11.3,26.5,27.2,27.2,26.1,2193,307,62,52,900,204,204,815,78.2353070175439,0,1111.83421052632,257.378333333333
50,"Caxiuana unmanaged","Luyssaert_2007_cbob",999,2960,"Caxiuana","unmanaged","woody","2TEB","ANPP_foliage","2005",NA,NA,3.7,NA,"Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Brazil",-1.72,-51.45,NA,NA,2500,"140","Neotropics","Af","Tropical rainforest","NAC","NAC","NAC","NAC","No disturbance","1970",0,0,0,"tropical","ANPP_woody_stem","2005",NA,NA,2.32,TRUE,26.7,9.8,0.86,4.17,32.9,21.6,11.3,26.5,27.2,27.2,26.1,2205,307,64,51,900,209,209,819,78.2353070175439,0,1111.83421052632,257.378333333333
51,"Chamela 1 Lower unmanaged Mature terra firma","Clark_2001_nppi",999,3155,"Chamela 1 Lower","unmanaged Mature terra firma","woody","2TDB","ANPP_litterfall","NI","NI","NI",1.974,NA,"Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Mexico",19.5,-105.02,70,24.9,707,"153","Neotropics","As","Tropical dry forest","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,"tropical","ANPP_woody_stem","NI","NI","NI",1.41,TRUE,26.2,12.9,0.72,16.58,33.6,15.9,17.7,27.8,25.2,28,23.9,804,218,1,109,557,12,413,29,50.8863304093567,0,0,59.9948245614035
52,"Chamela 2 Middle unmanaged Mature terra firma","Clark_2001_nppi",999,3174,"Chamela 2 Middle","unmanaged Mature terra firma","woody","2TDB","ANPP_litterfall","NI","NI","NI",1.504,NA,"Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Mexico",19.5,-105.02,130,24.95,743.5,"153","Neotropics","As","Tropical dry forest","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,"tropical","ANPP_woody_stem","NI","NI","NI",1.128,TRUE,26.2,12.9,0.72,16.58,33.6,15.9,17.7,27.8,25.2,28,23.9,804,218,1,109,557,12,413,29,50.8863304093567,0,0,59.9948245614035
53,"Chamela 3 Upper unmanaged Mature terra firma","Clark_2001_nppi",999,3180,"Chamela 3 Upper","unmanaged Mature terra firma","woody","2TDB","ANPP_litterfall","NI","NI","NI",1.551,NA,"Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Mexico",19.5,-105.02,150,24.9,707,"153","Neotropics","As","Tropical dry forest","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,"tropical","ANPP_woody_stem","NI","NI","NI",0.94,TRUE,26.2,12.9,0.72,16.58,33.6,15.9,17.7,27.8,25.2,28,23.9,804,218,1,109,557,12,413,29,50.8863304093567,0,0,59.9948245614035
54,"Chamela hill Hill","Martinez-Yrizar_1992_agpo",999,18330,"Chamela hill","Hill","woody","2TDB","ANPP_litterfall","NI","NI","NI",1.8565,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Mexico",19.487,-105.034,NA,24.9,707,"NAC","Neotropics","As","Tropical dry forest","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,"tropical","ANPP_woody_stem","NI","NI","NI",1.128,TRUE,26.2,12.8,0.72,16.53,33.6,16,17.6,27.8,25.2,28,23.9,790,215,1,110,546,12,403,29,50.8863304093567,0,0,59.9948245614035
55,"Chamela valley Valley","Martinez-Yrizar_1992_agpo",999,18331,"Chamela valley","Valley","woody","2TDB","ANPP_litterfall","NI","NI","NI",3.055,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Mexico",19.487,-105.034,NA,24.9,707,"NAC","Neotropics","As","Tropical dry forest","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,"tropical","ANPP_woody_stem","NI","NI","NI",1.41,TRUE,26.2,12.8,0.72,16.53,33.6,16,17.6,27.8,25.2,28,23.9,790,215,1,110,546,12,403,29,50.8863304093567,0,0,59.9948245614035
56,"Chhindwara Site I","Pande_2005_bapi",999,18302,"Chhindwara","Site I","woody","2TEB","ANPP_litterfall","1998","1998","1998",1.551,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","India",21.67,78.67,NA,25,1247,"NAC","Indo-Malay","As","Tropical dry forest","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,"tropical","ANPP_woody_stem","1998","1998","1998",2.7683,TRUE,26,12.6,0.42,43.64,41.4,11.8,29.6,26.4,26.8,32.1,20.4,1016,296,8,122,748,34,169,35,38.5736111111111,8.7719298245614e-05,1732.60438596491,55.149649122807
57,"Chhindwara Site II","Pande_2005_bapi",999,18303,"Chhindwara","Site II","woody","2TEB","ANPP_litterfall","1998","1998","1998",2.1291,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","India",21.67,78.67,NA,25,1247,"NAC","Indo-Malay","As","Tropical dry forest","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,"tropical","ANPP_woody_stem","1998","1998","1998",2.0445,TRUE,26,12.6,0.42,43.64,41.4,11.8,29.6,26.4,26.8,32.1,20.4,1016,296,8,122,748,34,169,35,38.5736111111111,8.7719298245614e-05,1732.60438596491,55.149649122807
58,"Chhindwara Site III","Pande_2005_bapi",999,18304,"Chhindwara","Site III","woody","2TEB","ANPP_litterfall","1998","1998","1998",1.5369,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","India",21.67,78.67,NA,25,1247,"NAC","Indo-Malay","As","Tropical dry forest","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,"tropical","ANPP_woody_stem","1998","1998","1998",1.9411,TRUE,26,12.6,0.42,43.64,41.4,11.8,29.6,26.4,26.8,32.1,20.4,1016,296,8,122,748,34,169,35,38.5736111111111,8.7719298245614e-05,1732.60438596491,55.149649122807
59,"Chhindwara Site IV","Pande_2005_bapi",999,18305,"Chhindwara","Site IV","woody","2TEB","ANPP_litterfall","1998","1998","1998",1.551,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","India",21.67,78.67,NA,25,1247,"NAC","Indo-Malay","As","Tropical dry forest","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,"tropical","ANPP_woody_stem","1998","1998","1998",1.833,TRUE,26,12.6,0.42,43.64,41.4,11.8,29.6,26.4,26.8,32.1,20.4,1016,296,8,122,748,34,169,35,38.5736111111111,8.7719298245614e-05,1732.60438596491,55.149649122807
60,"Cinnamon Bay Cinnamon Bay","Weaver_2006_etef",999,18453,"Cinnamon Bay","Cinnamon Bay","woody","2TREE","ANPP_litterfall","NRA","NRA","NRA",4.042,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States Virgin Islands",18.33,-64.73,NA,24.8,1240,"NAC","Neotropic","Am","Tropical rainforest","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,"tropical","ANPP_woody_stem","NRA","NRA","NRA",0.6627,TRUE,24.3,6.8,0.68,11.75,29.2,19.2,10,24.9,23.1,25.6,22.7,1289,163,50,34,473,196,373,199,56.9465643274854,0,0,162.436052631579
61,"Cinnamon Bay Cinnamon Bay","Weaver_2006_etef",999,18453,"Cinnamon Bay","Cinnamon Bay","woody","2TREE","ANPP_litterfall","NRA","NRA","NRA",4.042,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States Virgin Islands",18.33,-64.73,NA,24.8,1240,"NAC","Neotropic","Am","Tropical rainforest","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,"tropical","ANPP_woody_stem","NRA","NRA","NRA",0.6627,TRUE,24.3,6.8,0.68,11.75,29.2,19.2,10,24.9,23.1,25.6,22.7,1289,163,50,34,473,196,373,199,56.9465643274854,0,0,162.436052631579
62,"Cinnamon Bay Cinnamon Bay","Weaver_2006_etef",999,18453,"Cinnamon Bay","Cinnamon Bay","woody","2TREE","ANPP_litterfall","NRA","NRA","NRA",4.042,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States Virgin Islands",18.33,-64.789,175,24.8,1130,"172","Neotropics","Am","Tropical dry forest","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,"tropical","ANPP_woody_stem","NRA","NRA","NRA",0.6627,TRUE,26.1,7,0.67,11.47,31.1,20.8,10.3,26.7,24.5,27.4,24.5,1197,149,47,35,441,171,344,171,56.9465643274854,0,0,162.436052631579
63,"Cinnamon Bay Cinnamon Bay","Weaver_2006_etef",999,18453,"Cinnamon Bay","Cinnamon Bay","woody","2TREE","ANPP_litterfall","NRA","NRA","NRA",4.042,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States Virgin Islands",18.33,-64.789,175,24.8,1130,"172","Neotropics","Am","Tropical dry forest","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,"tropical","ANPP_woody_stem","NRA","NRA","NRA",0.6627,TRUE,26.1,7,0.67,11.47,31.1,20.8,10.3,26.7,24.5,27.4,24.5,1197,149,47,35,441,171,344,171,56.9465643274854,0,0,162.436052631579
64,"Colorado Forest Colorado forest","Weaver_1990_fsap",999,18454,"Colorado Forest","Colorado forest","woody","2TEB","ANPP_litterfall","1982","1981","1983",3.196,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",18.3,-65.7,725,NA,3725,"81","Neotropics","Am","Tropical rainforest","0.8","NAC","NAC","NAC","NAC","NAC",0,0,1,"tropical","ANPP_woody_stem","1982","1981","1983",0.282,TRUE,25.7,8.6,0.71,12.31,31.3,19.3,12,26.3,24,27.1,24,1974,242,79,32,652,269,558,269,59.9997076023392,0,1199.02105263158,214.942192982456
65,"Cove Forest Long Branch 1 Long Branch 1","Clebsch_1989_ssgd",200,18691,"Cove Forest Long Branch 1","Long Branch 1","woody","2TDB","ANPP_foliage","1988","1988","1988",1.457,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",35.687,-83.417,920,NA,NA,"NAC","NAC","Cfa","Temperate mountain system","NAC","1780","Initiation of post-disturbance cohort (planted or natural)","1780","NAC","NAC",0,0,0,"temperate","ANPP_woody_stem","1988","1988","1988",1.269,TRUE,10.4,13,0.4,71.35,26.1,-6.3,32.4,2.2,11.1,19.2,0.8,1552,159,99,11,424,336,397,396,61.3716374269006,109.565,947.462280701754,124.728070175439
66,"Cove Forest Long Branch 2 Long Branch 2","Clebsch_1989_ssgd",200,18696,"Cove Forest Long Branch 2","Long Branch 2","woody","2TDB","ANPP_foliage","1988","1988","1988",1.457,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",35.686,-83.42,950,NA,NA,"NAC","NAC","Cfa","Temperate mountain system","NAC","1780","Initiation of post-disturbance cohort (planted or natural)","1780","NAC","NAC",0,0,0,"temperate","ANPP_woody_stem","1988","1988","1988",1.175,TRUE,10.4,13,0.4,71.35,26.1,-6.3,32.4,2.2,11.1,19.2,0.8,1552,159,99,11,424,336,397,396,61.3716374269006,109.565,947.462280701754,124.728070175439
67,"Cove Forest Long Branch Young 1 Young","Clebsch_1989_ssgd",63,18727,"Cove Forest Long Branch Young 1","Young","woody","2TDB","ANPP_foliage","1983","1983","1983",2.021,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",35.687,-83.417,920,NA,NA,"NAC","NAC","Cfa","Temperate mountain system","NAC","1920","Initiation of post-disturbance cohort (planted or natural)","1920","NAC","NAC",0,0,0,"temperate","ANPP_woody_stem","1983","1983","1983",3.619,TRUE,10.4,13,0.4,71.35,26.1,-6.3,32.4,2.2,11.1,19.2,0.8,1552,159,99,11,424,336,397,396,61.3716374269006,109.565,947.462280701754,124.728070175439
68,"Cove Forest Porters Creek Porters Creek","Clebsch_1989_ssgd",200,18701,"Cove Forest Porters Creek","Porters Creek","woody","2TDB","ANPP_foliage","1989","1989","1989",1.88,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",35.681,-83.399,720,NA,NA,"NAC","NAC","Cfa","Temperate mountain system","NAC","1780","Initiation of post-disturbance cohort (planted or natural)","1780","NAC","NAC",0,0,0,"temperate","ANPP_woody_stem","1989","1989","1989",1.692,TRUE,11.2,13.6,0.41,71.4,27.2,-5.8,33,3.1,11.9,20.1,1.6,1449,150,89,12,399,307,372,372,61.3716374269006,109.565,947.462280701754,124.728070175439
69,"Cove Forest Roaring Fork 1 Roaring Fork 1","Clebsch_1989_ssgd",200,18706,"Cove Forest Roaring Fork 1","Roaring Fork 1","woody","2TDB","ANPP_foliage","1990","1990","1990",1.551,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",35.679,-83.464,990,NA,NA,"NAC","NAC","Cfa","Temperate mountain system","NAC","1780","Initiation of post-disturbance cohort (planted or natural)","1780","NAC","NAC",0,0,0,"temperate","ANPP_woody_stem","1990","1990","1990",1.692,TRUE,10.5,13.1,0.4,71.34,26.3,-6.2,32.5,2.4,11.2,19.4,0.9,1546,159,97,11,424,333,395,396,61.3716374269006,109.565,947.462280701754,124.728070175439
70,"Cove Forest Roaring Fork 2 Roaring Fork 2","Clebsch_1989_ssgd",200,18711,"Cove Forest Roaring Fork 2","Roaring Fork 2","woody","2TDB","ANPP_foliage","1990","1990","1990",1.739,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",35.681,-83.462,960,NA,NA,"NAC","NAC","Cfa","Temperate mountain system","NAC","1780","Initiation of post-disturbance cohort (planted or natural)","1780","NAC","NAC",0,0,0,"temperate","ANPP_woody_stem","1990","1990","1990",1.786,TRUE,10.5,13.1,0.4,71.34,26.3,-6.2,32.5,2.4,11.2,19.4,0.9,1546,159,97,11,424,333,395,396,61.3716374269006,109.565,947.462280701754,124.728070175439
71,"Cove Forest Roaring Fork 3 Roaring Fork 3","Clebsch_1989_ssgd",200,18716,"Cove Forest Roaring Fork 3","Roaring Fork 3","woody","2TDB","ANPP_foliage","1990","1990","1990",1.88,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",35.676,-83.452,1140,NA,NA,"NAC","NAC","Cfa","Temperate mountain system","NAC","1780","Initiation of post-disturbance cohort (planted or natural)","1780","NAC","NAC",0,0,0,"temperate","ANPP_woody_stem","1990","1990","1990",2.209,TRUE,10.3,13,0.4,71.3,26.1,-6.3,32.4,2.2,11.1,19.2,0.8,1566,161,99,11,429,339,399,401,61.3716374269006,109.565,947.462280701754,124.728070175439
72,"Dinghushan 6 Cryptocarya concinna community","Zhang_1996_baeo",999,4107,"Dinghushan 6","Cryptocarya concinna community","woody","2TEB","ANPP_foliage","1992",NA,NA,3.737299,NA,"Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","China",23.18,112.53,200,21,1927,"214","IndoMalay","Cfa","Subtropical humid forest","NAC","NAC","Initiation of post-disturbance cohort (natural)","1948","Harvest","1948",0,0,0,"subtropical","ANPP_woody_stem","1992",NA,NA,2.040082,TRUE,20.6,7.7,0.32,54.84,31.3,7.9,23.4,25.9,14.7,26.8,13,1704,280,33,65,778,110,752,138,70.3672514619883,0.998245614035088,1036.72105263158,166.001842105263
73,"El Verde El Verde Dwarf","Weaver_1986_eoit",999,18634,"El Verde","El Verde Dwarf","woody","2TEB","ANPP_litterfall","1977","1976","1978",1.457,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",18.42,-66,1000,23.1,4500,"NAC","Neotropics","Am","Tropical moist forest","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,"tropical","ANPP_woody_stem","1977","1976","1978",0.235,TRUE,25.8,8.3,0.7,12.45,31.4,19.7,11.7,27.2,24.5,27.2,24.1,1655,175,66,27,510,248,510,251,59.9997076023392,0,1199.02105263158,214.942192982456
74,"El Verde El Verde Dwarf","Weaver_1990_fsap",999,18359,"El Verde","El Verde Dwarf","woody","2TEB","ANPP_litterfall","1982","1981","1983",1.645,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",18.42,-66,1000,23.1,4500,"NAC","Neotropics","Am","Tropical moist forest","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,"tropical","ANPP_woody_stem","1982","1981","1983",0.2162,TRUE,25.8,8.3,0.7,12.45,31.4,19.7,11.7,27.2,24.5,27.2,24.1,1655,175,66,27,510,248,510,251,59.9997076023392,0,1199.02105263158,214.942192982456
