,site_plot,citation.ID,stand.age,date,measurement.ID,sites.sitename,plot.name,dominant.life.form,dominant.veg,variable.name.x,start.date.x,end.date.x,ANPP_canopy,min.dbh,required.citations,ForC.investigator,country,lat,lon,masl,mat,map,geographic.area,biogeog,Koeppen,FAO.ecozone,managed,disturbed,history.no.info,optional,AnnualMeanTemp,MeanDiurnalRange,TempSeasonality,TempRangeAnnual,AnnualPre,PreSeasonality,CloudCover,AnnualFrostDays,AnnualPET,AnnualWetDays,VapourPressure,SolarRadiation,biomes,ANPP_woody,ANPP_1
52,Kokee unmanaged Hurricane disturbed Metrosideros polymorpha.4100000-y,Herbert_1999_fpae,999,1993,18356,Kokee,unmanaged Hurricane disturbed Metrosideros polymorpha.4100000-y,woody,2TEB,ANPP_litterfall,1993,1993,1.0528,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",United States of America,22.05,-159.5,1134,16,2500,393,Oceania,Af,Tropical mountain system,0,1,0,TRUE,17.7,8.9,16.47,14,2436,37,63.0119883,0,0,204.9134211,0.169166667,627021.9,tropical,1.504,2.538
53,La Planada CTFS-ForestGEO plot 25-ha forest dynamics plot,Chave_2008_aepa,999,1995,18288,La Planada CTFS-ForestGEO plot,25-ha forest dynamics plot,woody,2TEB,ANPP_litterfall,1985,2005,3.6801,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Colombia,1.1558,-77.9935,1818,19,4087,NAC,South America,Cfb,Tropical mountain system,0,0,0,TRUE,17.8,10.1,2.45,11.4,1716,41,79.54802632,0.025175439,992.1324561,174.0385965,0.166,535243.9,tropical,2.2325,5.922
54,La Selva Biological Station primary forest,Clark_2001_nppi,999,NI,18289,La Selva Biological Station,primary forest,woody,2TEB,ANPP_litterfall,NI,NI,3.196,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Costa Rica,10.43,-83.98,85,24.75,4250,1,North America,Af,Tropical rainforest,0,0,0,TRUE,26.1,8.8,7.31,11.4,3981,30,58.26176901,0,1314.10614,179.1069298,0.286000001,705251.9,tropical,2.5145,5.687
55,Laupahoehoe unmanaged Mature Metrosideros polymorpha.20000-y,Herbert_1999_fpae,999,1993,18357,Laupahoehoe,unmanaged Mature Metrosideros polymorpha.20000-y,woody,2TEB,ANPP_litterfall,1993,1993,2.444,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",United States of America,19.95,-155.3,1170,16,2500,248,Oceania,Cfb,Tropical mountain system,0,0,0,TRUE,16.6,8.7,12,12.5,1936,42,68.43070175,0,1099.850877,248.6133333,0.156083334,648288.3,tropical,1.9834,4.418
56,Lookout Mountains 5 NI,Luyssaert_2007_cbob,111,2001,8473,Lookout Mountains 5,NI,woody,2TEN,ANPP_foliage,NA,NA,2.79,NA,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",United States of America,45.8344,-122.0899,989,NA,NA,439,North America,Csb,Temperate mountain system,0,0,0,TRUE,6.2,9.6,53.38,24.9,2637,64,70.00789474,113.9348246,795.5096491,141.1185965,0.068416666,461871.5,temperate,1.56,4.36
57,Lookout Mountains 6 NI,Luyssaert_2007_cbob,85,2001,8485,Lookout Mountains 6,NI,woody,2TEN,ANPP_foliage,NA,NA,2.44,NA,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",United States of America,45.8464,-122.1093,1200,NA,NA,439,North America,Csb,Temperate mountain system,0,0,0,TRUE,5.3,9.2,52.59,24.1,2744,63,70.00789474,113.9348246,795.5096491,141.1185965,0.06425,460569.8,temperate,3.94,6.38
58,"Luquillo 3 Prestoea montana, tropical palm forest",Frangi_1985_edoa,999,1980,18627,Luquillo 3,"Prestoea montana, tropical palm forest",woody,2TEB,ANPP_litterfall,1980,1981,4.136,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",United States of America,18.42,-65.92,NA,19.7,1885,81,North America,Am,Tropical moist forest,0,0,1,TRUE,25.7,8.5,12.42,11.9,1771,27,59.9997076,0,1199.021053,214.942193,0.259500001,706843.5,tropical,1.551,9.165
59,"Maraca Island,Forest without Peltogyne partially flooded tropical forest.MAI3",Villela_1999_lmca,999,1991,18276,"Maraca Island,Forest without Peltogyne",partially flooded tropical forest.MAI3,woody,2TEB,ANPP_litterfall,1991,1992,4.0326,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Brazil,3.37,-61.4,NA,NA,1572,515,South America,Am,Tropical moist forest,0,0,1,TRUE,27,10.5,5.01,11.9,1616,77,55.95964912,0,1482.142982,188.1714035,0.270333336,615927.4,tropical,1.504,5.593
60,"Maraca Island,Peltogyne-rich forest partially flooded tropical forest.MAI1",Villela_1999_lmca,999,1991,18278,"Maraca Island,Peltogyne-rich forest",partially flooded tropical forest.MAI1,woody,2TEB,ANPP_litterfall,1991,1992,3.7271,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Brazil,3.37,-61.4,NA,NA,1572,515,South America,Am,Tropical moist forest,0,0,1,TRUE,27,10.5,5.01,11.9,1616,77,55.95964912,0,1482.142982,188.1714035,0.270333336,615927.4,tropical,1.222,4.9491
61,"Maraca Island,Peltogyne poor forest partially flooded tropical forest.MAI2",Villela_1999_lmca,999,1991,18277,"Maraca Island,Peltogyne poor forest",partially flooded tropical forest.MAI2,woody,2TEB,ANPP_litterfall,1991,1992,4.2629,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Brazil,3.37,-61.4,NA,NA,1572,515,South America,Am,Tropical moist forest,0,0,1,TRUE,27,10.5,5.01,11.9,1616,77,55.95964912,0,1482.142982,188.1714035,0.270333336,615927.4,tropical,1.504,5.781
62,Marihan Site 1,Singh_1991_ssdm,999,1988,18478,Marihan,Site 1,woody,2TREE,ANPP_litterfall,1987,1989,1.363,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",India,25,82.67,NA,27,821,NAC,Asia,Cwa,Tropical dry forest,0,0,0,TRUE,25.6,12.5,58.96,32.2,987,138,38.06725146,0.798070175,1570.786842,51.84385965,0.203333336,702044.1,tropical,2.256,3.619
63,Marihan Site 2,Singh_1991_ssdm,999,1988,18479,Marihan,Site 2,woody,2TREE,ANPP_litterfall,1987,1989,0.752,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",India,25,82.67,NA,27,821,NAC,Asia,Cwa,Tropical dry forest,0,0,0,TRUE,25.6,12.5,58.96,32.2,987,138,38.06725146,0.798070175,1570.786842,51.84385965,0.203333336,702044.1,tropical,0.611,1.363
64,Marihan Site 3,Singh_1991_ssdm,999,1988,18480,Marihan,Site 3,woody,2TREE,ANPP_litterfall,1987,1989,0.705,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",India,25,82.67,NA,27,821,NAC,Asia,Cwa,Tropical dry forest,0,0,0,TRUE,25.6,12.5,58.96,32.2,987,138,38.06725146,0.798070175,1570.786842,51.84385965,0.203333336,702044.1,tropical,0.94,1.645
65,Maui 1 unmanaged upland tropical forest,Schuur_2001_ccas,999,1996,18342,Maui 1,unmanaged upland tropical forest,woody,2TEB,ANPP_litterfall,1996,1997,4.089,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",United States of America,20.805833,-156.255278,1300,16,2200,518,Oceania,Af,Tropical mountain system,0,0,0,TRUE,15.7,8.7,12.56,12.5,1713,47,65.67185673,0,1304.776316,220.2853509,0.144999999,662750.4,tropical,0.3525,4.465
66,Maui 2 unmanaged upland tropical forest,Schuur_2001_ccas,999,1996,18343,Maui 2,unmanaged upland tropical forest,woody,2TEB,ANPP_litterfall,1996,1997,4.794,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",United States of America,20.807361,-156.252917,1300,16,2450,518,Oceania,Af,Tropical mountain system,0,0,0,TRUE,15.7,8.7,12.56,12.5,1713,47,65.67185673,0,1304.776316,220.2853509,0.144999999,662750.4,tropical,0.1175,4.935
67,Maui 3 unmanaged upland tropical forest,Schuur_2001_ccas,999,1996,18344,Maui 3,unmanaged upland tropical forest,woody,2TEB,ANPP_litterfall,1996,1997,3.854,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",United States of America,20.808333,-156.25,1300,16,2750,518,Oceania,Af,Tropical mountain system,0,0,0,TRUE,15.7,8.7,12.64,12.5,1733,47,65.67185673,0,1304.776316,220.2853509,0.142499999,658251.8,tropical,0.517,4.371
68,Maui 4 unmanaged upland tropical forest,Schuur_2001_ccas,999,1996,18345,Maui 4,unmanaged upland tropical forest,woody,2TEB,ANPP_litterfall,1996,1997,4.23,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",United States of America,20.813194,-156.247083,1300,16,3350,518,Oceania,Af,Tropical mountain system,0,0,0,TRUE,16.1,8.6,12.69,12.4,1757,47,65.67185673,0,1304.776316,220.2853509,0.148833333,656124,tropical,0.094,4.324
69,Maui 5 unmanaged upland tropical forest,Schuur_2001_ccas,999,1996,18346,Maui 5,unmanaged upland tropical forest,woody,2TEB,ANPP_litterfall,1996,1997,2.632,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",United States of America,20.813194,-156.240278,1300,16,4050,518,Oceania,Af,Tropical mountain system,0,0,0,TRUE,16.5,8.6,12.98,12.4,1809,47,65.67185673,0,1304.776316,220.2853509,0.14875,648805.1,tropical,0.705,3.337
70,Maui 6 unmanaged upland tropical forest,Schuur_2001_ccas,999,1996,18347,Maui 6,unmanaged upland tropical forest,woody,2TEB,ANPP_litterfall,1996,1997,1.88,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",United States of America,20.815139,-156.229722,1300,16,5050,518,Oceania,Af,Tropical mountain system,0,0,0,TRUE,16.3,8.6,13.05,12.4,1826,46,65.67185673,0,1304.776316,220.2853509,0.149499999,641782.9,tropical,0.0235,1.927
71,Mauna Loa Old flow 2 Old flow 2,Raich_1997_ppae,999,1992,18351,Mauna Loa Old flow 2,Old flow 2,woody,2TEB,ANPP_litterfall,1991,1993,1.0763,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",United States of America,19.45,-155.15,NA,13,4300,NAC,Oceania,Af,Tropical mountain system,0,0,0,TRUE,18.4,8.8,11.09,12.2,3382,29,67.79868421,0,1281.514912,254.4439474,0.173499998,626311.4,tropical,0.423,2.726
72,Mauna Loa Young flow 1 Young flow 1,Raich_1997_ppae,999,1992,18348,Mauna Loa Young flow 1,Young flow 1,woody,2TEB,ANPP_litterfall,1991,1993,0.5076,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",United States of America,19.45,-155.15,NA,20.9,4300,NAC,Oceania,Af,Tropical mountain system,0,0,0,TRUE,18.4,8.8,11.09,12.2,3382,29,67.79868421,0,1281.514912,254.4439474,0.173499998,626311.4,tropical,0.4418,2.679
73,Mauna Loa Young flow 2 Young flow 2,Raich_1997_ppae,999,1992,18349,Mauna Loa Young flow 2,Young flow 2,woody,2TEB,ANPP_litterfall,1991,1993,0.3807,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",United States of America,19.45,-155.15,NA,20,4300,NAC,Oceania,Af,Tropical mountain system,0,0,0,TRUE,18.4,8.8,11.09,12.2,3382,29,67.79868421,0,1281.514912,254.4439474,0.173499998,626311.4,tropical,0.0846,1.88
74,Mauna Loa Young flow 3 Young flow 3,Raich_1997_ppae,999,1992,18350,Mauna Loa Young flow 3,Young flow 3,woody,2TEB,ANPP_litterfall,1991,1993,0.2538,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",United States of America,19.45,-155.15,NA,16,4300,NAC,Oceania,Af,Tropical mountain system,0,0,0,TRUE,18.4,8.8,11.09,12.2,3382,29,67.79868421,0,1281.514912,254.4439474,0.173499998,626311.4,tropical,0.0329,1.316
75,Menglun Nature Reserve primary forest,Tan_2011_aosa,999,2005,18284,Menglun Nature Reserve,primary forest,woody,2TB,ANPP_litterfall,2003,2007,3.9104,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",China,21.95,101.2,750,19.25,1487,522,Asia,Cwa,Tropical mountain system,0,0,0,TRUE,22.2,11.9,32.7,22,1403,73,62.30423977,0.523070175,1056.474561,200.4745614,0.197083334,600874,tropical,3.1772,7.097
76,Metolius 10 unmanaged,Luyssaert_2007_cbob,190,2001,9169,Metolius 10,unmanaged,woody,2TEN,ANPP_foliage,NA,NA,0.73,NA,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",United States of America,44.4982,-121.6249,895,NA,NA,366,North America,Csb,Temperate mountain system,0,0,0,TRUE,7.3,14.6,61.95,32.7,780,60,66.83289474,205.400614,761.8017544,121.5942982,0.068166667,519046.3,temperate,1.4,2.14
77,Metolius 11 unmanaged,Luyssaert_2007_cbob,316,2001,9192,Metolius 11,unmanaged,woody,2TEN,ANPP_foliage,NA,NA,0.48,NA,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",United States of America,44.4222,-121.6066,1129,NA,NA,366,North America,Csb,Temperate mountain system,0,0,0,TRUE,6.4,14.3,60.93,32.3,814,60,66.83289474,205.400614,761.8017544,121.5942982,0.063166667,523406.9,temperate,0.45,0.92
78,"Metolius Old Pine mosaic of old growth, young trees, and mixed age stands natural regeneration after fire",Luyssaert_2007_cbob,251,2001,9457,Metolius Old Pine,"mosaic of old growth, young trees, and mixed age stands natural regeneration after fire",woody,2TEN,ANPP_foliage,NA,NA,0.81,NA,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",United States of America,44.498889,-121.623611,915,8.15,482.13,366,North America,Csb,Temperate mountain system,0,1,0,TRUE,7.3,14.6,61.95,32.7,780,60,66.83289474,205.400614,761.8017544,121.5942982,0.068166667,519046.3,temperate,0.9,1.71
79,Mill City South 6 NI,Luyssaert_2007_cbob,74,2001,9599,Mill City South 6,NI,woody,2TEN,ANPP_foliage,NA,NA,2.21,NA,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",United States of America,44.7019,-122.5,676,NA,NA,66,North America,Csb,Temperate mountain system,0,0,0,TRUE,7.6,10.3,49.84,24.4,2346,62,68.79429825,160.3940351,747.9245614,133.4398246,0.076500001,484707.4,temperate,2.54,4.74
80,Mount Jefferson 4 unmanaged,Luyssaert_2007_cbob,262,2001,9831,Mount Jefferson 4,unmanaged,woody,2TEN,ANPP_foliage,NA,NA,0.89,NA,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",United States of America,44.6882,-121.865,1177,NA,NA,66,North America,Csb,Temperate mountain system,0,0,0,TRUE,5.1,11.1,57.79,28,1868,63,68.57660819,188.4214035,733.9736842,125.8402632,0.061583333,500050.8,temperate,0.71,1.59
81,Mount Jefferson 5 unmanaged,Luyssaert_2007_cbob,304,2001,9843,Mount Jefferson 5,unmanaged,woody,2TEN,ANPP_foliage,NA,NA,1,NA,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",United States of America,44.6958,-121.8698,1069,NA,NA,66,North America,Csb,Temperate mountain system,0,0,0,TRUE,6.2,11.7,58.12,28.6,1708,63,68.57660819,188.4214035,733.9736842,125.8402632,0.0655,501193.5,temperate,1.14,2.14
82,Mt. Kinabalu 1560m lower montane rain forest on sedimentary rock,Kitayama_2002_esap,999,1996,18313,Mt. Kinabalu 1560m,lower montane rain forest on sedimentary rock,woody,2TEB,ANPP_litterfall,1995,1997,3.76,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Malaysia,6.08,116.55,1560,18,2250,545,Asia,Af,Tropical mountain system,0,0,0,TRUE,6.7,7.6,10.04,10.8,2117,22,69.95409357,0,992.8815789,236.4176316,0.109,551623.4,tropical,1.9881,5.734
83,Mt. Kinabalu 1860m lower montane rain forest on ultrabasic rock,Kitayama_2002_esap,999,1996,18314,Mt. Kinabalu 1860m,lower montane rain forest on ultrabasic rock,woody,2TEB,ANPP_litterfall,1995,1997,2.961,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Malaysia,6.08,116.55,1860,18,2250,545,Asia,Af,Tropical mountain system,0,0,0,TRUE,6.7,7.6,10.04,10.8,2117,22,69.95409357,0,992.8815789,236.4176316,0.109,551623.4,tropical,0.8695,3.807
84,Mt. Kinabalu 2590m upper montane rain forest on sedimentary rock,Kitayama_2002_esap,999,1996,18315,Mt. Kinabalu 2590m,upper montane rain forest on sedimentary rock,woody,2TEB,ANPP_litterfall,1995,1997,2.491,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Malaysia,6.08,116.55,2590,12,2150,545,Asia,Af,Tropical mountain system,0,0,0,TRUE,6.7,7.6,10.04,10.8,2117,22,69.95409357,0,992.8815789,236.4176316,0.109,551623.4,tropical,1.1656,3.666
85,Mt. Kinabalu 2700m upper montane rain forest on ultrabasic rock,Kitayama_2002_esap,999,1996,18316,Mt. Kinabalu 2700m,upper montane rain forest on ultrabasic rock,woody,2TEB,ANPP_litterfall,1995,1997,2.773,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Malaysia,6.08,116.55,2700,12,2150,545,Asia,Af,Tropical mountain system,0,0,0,TRUE,6.7,7.6,10.04,10.8,2117,22,69.95409357,0,992.8815789,236.4176316,0.109,551623.4,tropical,0.6157,3.431
86,Mt. Kinabalu 3050m subalpine forest on ultrabasic rock,Kitayama_2002_esap,999,1996,18317,Mt. Kinabalu 3050m,subalpine forest on ultrabasic rock,woody,2TEB,ANPP_litterfall,1995,1997,0.752,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Malaysia,6.08,116.55,3050,9,2100,545,Asia,Af,Tropical mountain system,0,0,0,TRUE,6.7,7.6,10.04,10.8,2117,22,69.95409357,0,992.8815789,236.4176316,0.109,551623.4,tropical,0.1645,0.94
87,Mt. Kinabalu 3080m subalpine forest on sedimentary rock,Kitayama_2002_esap,999,1996,18318,Mt. Kinabalu 3080m,subalpine forest on sedimentary rock,woody,2TEB,ANPP_litterfall,1995,1997,2.961,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Malaysia,6.08,116.55,3080,9,2100,545,Asia,Af,Tropical mountain system,0,0,0,TRUE,6.7,7.6,10.04,10.8,2117,22,69.95409357,0,992.8815789,236.4176316,0.109,551623.4,tropical,0.8695,3.854
88,Mt. Kinabalu 650m hill dipterocarp rain forest on sedimentary rock,Kitayama_2002_esap,999,1996,18319,Mt. Kinabalu 650m,hill dipterocarp rain forest on sedimentary rock,woody,2TEB,ANPP_litterfall,1995,1997,5.217,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Malaysia,6.08,116.55,650,24,2200,545,Asia,Af,Tropical mountain system,0,0,0,TRUE,6.7,7.6,10.04,10.8,2117,22,69.95409357,0,992.8815789,236.4176316,0.109,551623.4,tropical,3.7741,8.977
89,Mt. Kinabalu 700m hill dipterocarp rain forest on ultrabasic rock,Kitayama_2002_esap,999,1996,18320,Mt. Kinabalu 700m,hill dipterocarp rain forest on ultrabasic rock,woody,2TEB,ANPP_litterfall,1995,1997,5.217,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Malaysia,6.08,116.55,700,24,2200,545,Asia,Af,Tropical mountain system,0,0,0,TRUE,6.7,7.6,10.04,10.8,2117,22,69.95409357,0,992.8815789,236.4176316,0.109,551623.4,tropical,2.8294,8.037
90,"Mt. Kinabalu, Q lower upland tropical forest",Takyu_2003_cibp,999,1998,18325,"Mt. Kinabalu, Q lower",upland tropical forest,woody,2TEB,ANPP_litterfall,1997,1999,4.371,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Malaysia,6.08,116.55,NA,18.3,2600,NAC,Asia,Af,Tropical mountain system,0,0,0,TRUE,6.7,7.6,10.04,10.8,2117,22,69.95409357,0,992.8815789,236.4176316,0.109,551623.4,tropical,1.222,5.593
91,"Mt. Kinabalu, Q ridge upland tropical forest",Takyu_2003_cibp,999,1998,18321,"Mt. Kinabalu, Q ridge",upland tropical forest,woody,2TEB,ANPP_litterfall,1997,1999,2.538,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Malaysia,6.08,116.55,1860,18.3,2380,545,Asia,Af,Tropical mountain system,0,0,1,TRUE,6.7,7.6,10.04,10.8,2117,22,69.95409357,0,992.8815789,236.4176316,0.109,551623.4,tropical,0.282,2.82
92,"Mt. Kinabalu, T lower upland tropical forest",Takyu_2003_cibp,999,1998,18326,"Mt. Kinabalu, T lower",upland tropical forest,woody,2TEB,ANPP_litterfall,1997,1999,3.807,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Malaysia,6.08,116.55,NA,18.3,2380,NAC,Asia,Af,Tropical mountain system,0,0,0,TRUE,6.7,7.6,10.04,10.8,2117,22,69.95409357,0,992.8815789,236.4176316,0.109,551623.4,tropical,1.269,5.076
93,"Mt. Kinabalu, T ridge upland tropical forest",Takyu_2003_cibp,999,1998,18322,"Mt. Kinabalu, T ridge",upland tropical forest,woody,2TEB,ANPP_litterfall,1997,1999,3.713,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Malaysia,6.08,116.55,1560,18.3,2380,545,Asia,Af,Tropical mountain system,0,0,1,TRUE,6.7,7.6,10.04,10.8,2117,22,69.95409357,0,992.8815789,236.4176316,0.109,551623.4,tropical,0.658,4.371
94,"Mt. Kinabalu, U lower upland tropical forest",Takyu_2003_cibp,999,1998,18323,"Mt. Kinabalu, U lower",upland tropical forest,woody,2TEB,ANPP_litterfall,1997,1999,3.102,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Malaysia,6.08,116.55,1860,18.3,2380,545,Asia,Af,Tropical mountain system,0,0,1,TRUE,6.7,7.6,10.04,10.8,2117,22,69.95409357,0,992.8815789,236.4176316,0.109,551623.4,tropical,0.893,3.995
95,"Mt. Kinabalu, U ridge upland tropical forest",Takyu_2003_cibp,999,1998,18324,"Mt. Kinabalu, U ridge",upland tropical forest,woody,2TEB,ANPP_litterfall,1997,1999,1.974,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Malaysia,6.08,116.55,1860,18.3,2380,545,Asia,Af,Tropical mountain system,0,0,1,TRUE,6.7,7.6,10.04,10.8,2117,22,69.95409357,0,992.8815789,236.4176316,0.109,551623.4,tropical,0.329,2.303
96,Nacetin PO,Schulze_2000_tcan,58,1995,9939,Nacetin,PO,woody,2TEN,ANPP_foliage,NA,NA,1.73,NA,Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Czech Republic,50.58,13.25,775,5.9,935,348,Europe,Cfb,Temperate mountain system,0,0,0,TRUE,5.2,6.9,65.35,24.7,808,21,74.1869883,131.0028947,667.0745614,178.0578947,0.077916667,368154.9,temperate,1.73,3.46
97,Nouragues Grand Plateau old-growth tropical forest.NOR2,Chave_2001_eobi,999,NI,18299,Nouragues Grand Plateau,old-growth tropical forest.NOR2,woody,2TEB,ANPP_litterfall,NI,NI,4.6718,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",French Guiana,4.08,-52.67,110,26.06,3476,575,South America,Af,Tropical rainforest,0,0,0,TRUE,24.9,8.8,4.44,11.8,3329,47,62.84334795,0,1178.007895,210.0319298,0.270750004,662364.7,tropical,4.0702,8.742
98,Nouragues Petit Plateau old-growth tropical forest.NOR1,Chave_2001_eobi,999,NI,18300,Nouragues Petit Plateau,old-growth tropical forest.NOR1,woody,2TEB,ANPP_litterfall,NI,NI,3.8822,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",French Guiana,4.08,-52.67,110,26.06,3476,575,South America,Af,Tropical rainforest,0,0,0,TRUE,24.9,8.8,4.44,11.8,3329,47,62.84334795,0,1178.007895,210.0319298,0.270750004,662364.7,tropical,3.7788,7.661
99,Paracou B PAR-01,Malhi_2004_tacw,999,1990,18301,Paracou B,PAR-01,woody,2TEB,ANPP_litterfall,1984,1995,3.901,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",French Guiana,5.16,-52.54,NA,26.3,3041,NAC,South America,Af,Tropical rainforest,0,0,0,TRUE,NA,NA,NA,NA,NA,NA,58.65211988,0,1245.642982,197.6021053,0,0,tropical,1.9928,5.8938
100,Paragominas A Paragominas,Trumbore_1995_bcoc,999,1992,18275,Paragominas A,Paragominas,woody,2TEB,ANPP_litterfall,1992,1992,2.632,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Brazil,-2.8,-47.52,NA,26.7,1750,NAC,South America,Am,Tropical rainforest,0,0,0,TRUE,26.6,10.1,3.09,11.7,1965,78,76.16637427,0,1113.346491,271.2468421,0.276583336,571401.2,tropical,1.222,3.854
101,Pico del Este Mature Lower montane rain (dwarf) forest,Wang_2003_cdoa,999,2000,18353,Pico del Este,Mature Lower montane rain (dwarf) forest,woody,2TEB,ANPP_litterfall,1999,2002,1.269,NAC,,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",United States of America,18,-66.92,175,25.1,860,406,North America,Aw,Tropical moist forest,0,0,1,TRUE,26.2,11.1,11.25,14.4,785,57,57.42850877,0,0,147.9791228,0.265249999,691031.9,tropical,0.4935,1.786
102,Podocarpus 1 unmanaged,Moser_2011_eeot,999,NA,11083,Podocarpus 1,unmanaged,woody,2TEB,ANPP_foliage,2003,2004,2.54,NA,Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd,"Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu",Ecuador,-4.12,-78.97,1050,19.39999962,2230,114,South America,Cfb,Tropical mountain system,0,0,0,TRUE,21.8,11.5,6.01,14.1,1772,16,73.50643275,0.474210526,1667.457018,183.0603509,0.198333331,488680.8,tropical,1.37,3.91
