"X","site_plot","citation.ID","stand.age","measurement.ID","sites.sitename","plot.name","dominant.life.form","dominant.veg","variable.name.x","date.x","start.date.x","end.date.x","ANPP","min.dbh","required.citations","ForC.investigator","country","lat","lon","masl","mat","map","geographic.area","biogeog","Koeppen","FAO.ecozone","plot.area","year.establishment.oldest.trees","regrowth.type","regrowth.year","distmrs.type","distmrs.yr","managed","disturbed","history.no.info","biomes","variable.name.y","date.y","start.date.y","end.date.y","BNPP_root_fine","optional","AnnualMeanTemp","MeanDiurnalRange","Isothermality","TempSeasonality","MaxTWarmestMonth","MinTColdestMonth","TempRangeAnnual","MeanTWetQ","MeanTDryQ","MeanTWarmQ","MeanTColdQ","AnnualPre","PreWetMonth","PreDryMonth","PreSeasonality","PreWetQ","PreDryQ","PreWarmQ","PreColdQ","CloudCover","AnnualFrostDays","AnnualPET","AnnualWetDays"
37,"Chamela 2 Middle unmanaged Mature terra firma","Maass_2001_ntfc",999,3162,"Chamela 2 Middle","unmanaged Mature terra firma","woody","2TDB","ANPP",NA,"1982","1995",2.63,"NAC","Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Mexico",19.5,-105.02,130,24.95,743.5,153,"Neotropics","As","Tropical dry forest","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,"tropical","BNPP_root_fine",NA,"1982","1995",2.03,TRUE,26.2,12.9,0.72,16.58,33.6,15.9,17.7,27.8,25.2,28,23.9,804,218,1,109,557,12,413,29,50.8863304093567,0,0,59.9948245614035
38,"Hainich unmanaged","Bascietto_2003_dots",252,5895,"Hainich","unmanaged","woody","2TDB","ANPP",NA,"2000","2002",3.47,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Germany",51.0792,10.453,440,8.09,794.92,305,"Palearctic","Cfb","Temperate oceanic forest","NAC","1750","Initiation of post-disturbance cohort (natural)","1750","NAC","NAC",0,0,0,"temperate","BNPP_root_fine",NA,"2000","2002",1.45,TRUE,7.1,8.4,0.33,62.84,21,-4.3,25.3,15.1,-0.1,15.1,-1,736,82,47,16,226,153,226,164,75.0377192982456,118.105701754386,595.971929824561,180.721578947368
39,"Hainich unmanaged","Bascietto_2003_dots",252,5893,"Hainich","unmanaged","woody","2TDB","ANPP",NA,"2000","2002",3.47,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Germany",51.0792,10.453,440,8.09,794.92,305,"Palearctic","Cfb","Temperate oceanic forest","NAC","1750","Initiation of post-disturbance cohort (natural)","1750","NAC","NAC",0,0,0,"temperate","BNPP_root_fine",NA,"2000","2002",1.45,TRUE,7.1,8.4,0.33,62.84,21,-4.3,25.3,15.1,-0.1,15.1,-1,736,82,47,16,226,153,226,164,75.0377192982456,118.105701754386,595.971929824561,180.721578947368
40,"Harvard Forest - Little Prospect Hill EMS Tower (HFR1)","Curtis_2002_baeb",88,5957,"Harvard Forest - Little Prospect Hill","EMS Tower (HFR1)","woody","2TDB","ANPP","1999",NA,NA,2.6,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",42.53775556,-72.17147778,340,12.7,1066,310,"Nearctic","Dfb","Temperate mountain system","NAC","1895","Initiation of post-disturbance cohort (natural)","1938","Harvest","1938",0,1,0,"temperate","BNPP_root_fine","1999",NA,NA,2.2,TRUE,6.8,12.2,0.31,92.35,26.2,-12.7,38.9,18.3,-4.4,18.3,-5.7,1139,105,81,8,303,258,303,263,65.4607456140351,162.401403508772,888.371052631579,131.655614035088
41,"Ilomantsi 1 NI","Gower_2001_nppa",100,6889,"Ilomantsi 1","NI","woody","2TEN","ANPP","2000",NA,NA,1.93,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Finland",62.85,30.97,145,2,662,325,"Palearctic","Dfc","Boreal coniferous forest","NAC","1900","Initiation of post-disturbance cohort (planted or natural)","1900","NAC","NAC",0,0,0,"boreal","BNPP_root_fine","2000",NA,NA,1.29,TRUE,1.5,7.5,0.2,97.03,20.4,-15.7,36.1,12.5,-10.2,14.2,-11,623,83,30,32,222,98,212,113,71.9259502923977,198.492368421053,462.569298245614,202.028596491228
42,"Ilomantsi 3 NI","Gower_2001_nppa",50,6909,"Ilomantsi 3","NI","woody","2TEN","ANPP","2000",NA,NA,1.6,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Finland",62.85,30.97,145,2,662,325,"Palearctic","Dfc","Boreal coniferous forest","NAC","1950","Initiation of post-disturbance cohort (planted or natural)","1950","NAC","NAC",0,0,0,"boreal","BNPP_root_fine","2000",NA,NA,0.4,TRUE,1.5,7.5,0.2,97.03,20.4,-15.7,36.1,12.5,-10.2,14.2,-11,623,83,30,32,222,98,212,113,71.9259502923977,198.492368421053,462.569298245614,202.028596491228
43,"Ilomantsi 4 NI","Gower_2001_nppa",50,6919,"Ilomantsi 4","NI","woody","2TDB","ANPP","2000",NA,NA,1.69,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Finland",62.85,30.97,145,2,662,325,"Palearctic","Dfc","Boreal coniferous forest","NAC","1950","Initiation of post-disturbance cohort (planted or natural)","1950","NAC","NAC",0,0,0,"boreal","BNPP_root_fine","2000",NA,NA,0.35,TRUE,1.5,7.5,0.2,97.03,20.4,-15.7,36.1,12.5,-10.2,14.2,-11,623,83,30,32,222,98,212,113,71.9259502923977,198.492368421053,462.569298245614,202.028596491228
44,"Jezeri PO","Schulze_2000_tcan",79,7236,"Jezeri","PO","woody","2TDB","ANPP","1995",NA,NA,3.79,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Czech Republic",50.55,13.46,750,5.9,935,348,"Palearctic","Cfb","Temperate mountain system","NAC","1916","Planted","NAC","NAC","NAC",0,0,0,"temperate","BNPP_root_fine","1995",NA,NA,1.39,TRUE,5.1,6.8,0.27,65.95,18.4,-6.4,24.8,13.4,-2.6,13.4,-3.4,787,95,47,23,267,153,267,162,74.1869883040936,131.002894736842,667.074561403509,178.057894736842
45,"Jezeri PO","Schulze_2000_tcan",79,7239,"Jezeri","PO","woody","2TDB","ANPP","1995",NA,NA,5.99,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Czech Republic",50.55,13.46,750,5.9,935,348,"Palearctic","Cfb","Temperate mountain system","NAC","1916","Planted","NAC","NAC","NAC",0,0,0,"temperate","BNPP_root_fine","1995",NA,NA,1.39,TRUE,5.1,6.8,0.27,65.95,18.4,-6.4,24.8,13.4,-2.6,13.4,-3.4,787,95,47,23,267,153,267,162,74.1869883040936,131.002894736842,667.074561403509,178.057894736842
46,"Metolius 10 unmanaged","Luyssaert_2007_cbob",190,9173,"Metolius 10","unmanaged","woody","2TEN","ANPP","2001",NA,NA,2.42,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",44.4982,-121.6249,895,NA,NA,366,"Nearctic","Csb","Temperate mountain system","NAC","1811","Initiation of post-disturbance cohort (natural)","1811","NAC","NAC",0,0,0,"temperate","BNPP_root_fine","2001",NA,NA,1.15,TRUE,7.3,14.6,0.44,61.95,27.1,-5.6,32.7,0.2,15.3,15.6,-0.2,780,130,15,60,371,67,68,347,66.8328947368421,205.400614035088,761.801754385965,121.594298245614
47,"Metolius 10 unmanaged","Luyssaert_2007_cbob",190,9170,"Metolius 10","unmanaged","woody","2TEN","ANPP","2001",NA,NA,2.14,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",44.4982,-121.6249,895,NA,NA,366,"Nearctic","Csb","Temperate mountain system","NAC","1811","Initiation of post-disturbance cohort (natural)","1811","NAC","NAC",0,0,0,"temperate","BNPP_root_fine","2001",NA,NA,1.15,TRUE,7.3,14.6,0.44,61.95,27.1,-5.6,32.7,0.2,15.3,15.6,-0.2,780,130,15,60,371,67,68,347,66.8328947368421,205.400614035088,761.801754385965,121.594298245614
48,"Metolius 11 unmanaged","Luyssaert_2007_cbob",316,9196,"Metolius 11","unmanaged","woody","2TEN","ANPP","2001",NA,NA,1.02,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",44.4222,-121.6066,1129,NA,NA,366,"Nearctic","Csb","Temperate mountain system","NAC","1685","Initiation of post-disturbance cohort (natural)","1685","NAC","NAC",0,0,0,"temperate","BNPP_root_fine","2001",NA,NA,0.96,TRUE,6.4,14.3,0.44,60.93,25.8,-6.5,32.3,-0.5,14.3,14.5,-1,814,136,17,60,386,73,74,361,66.8328947368421,205.400614035088,761.801754385965,121.594298245614
49,"Metolius 11 unmanaged","Luyssaert_2007_cbob",316,9193,"Metolius 11","unmanaged","woody","2TEN","ANPP","2001",NA,NA,0.92,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",44.4222,-121.6066,1129,NA,NA,366,"Nearctic","Csb","Temperate mountain system","NAC","1685","Initiation of post-disturbance cohort (natural)","1685","NAC","NAC",0,0,0,"temperate","BNPP_root_fine","2001",NA,NA,0.96,TRUE,6.4,14.3,0.44,60.93,25.8,-6.5,32.3,-0.5,14.3,14.5,-1,814,136,17,60,386,73,74,361,66.8328947368421,205.400614035088,761.801754385965,121.594298245614
50,"Metolius Old Pine mosaic of old growth, young trees, and mixed age stands natural regeneration after fire","Luyssaert_2007_cbob",251,9461,"Metolius Old Pine","mosaic of old growth, young trees, and mixed age stands natural regeneration after fire","woody","2TEN","ANPP","2001",NA,NA,1.87,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",44.498889,-121.623611,915,8.15,482.13,366,"Nearctic","Csb","Temperate mountain system","NAC","1748","Initiation of post-disturbance cohort (natural)","1748","Burned","1748",0,1,0,"temperate","BNPP_root_fine","2001",NA,NA,1.44,TRUE,7.3,14.6,0.44,61.95,27.1,-5.6,32.7,0.2,15.3,15.6,-0.2,780,130,15,60,371,67,68,347,66.8328947368421,205.400614035088,761.801754385965,121.594298245614
51,"Metolius Old Pine mosaic of old growth, young trees, and mixed age stands natural regeneration after fire","Luyssaert_2007_cbob",251,9458,"Metolius Old Pine","mosaic of old growth, young trees, and mixed age stands natural regeneration after fire","woody","2TEN","ANPP","2001",NA,NA,1.71,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",44.498889,-121.623611,915,8.15,482.13,366,"Nearctic","Csb","Temperate mountain system","NAC","1748","Initiation of post-disturbance cohort (natural)","1748","Burned","1748",0,1,0,"temperate","BNPP_root_fine","2001",NA,NA,1.44,TRUE,7.3,14.6,0.44,61.95,27.1,-5.6,32.7,0.2,15.3,15.6,-0.2,780,130,15,60,371,67,68,347,66.8328947368421,205.400614035088,761.801754385965,121.594298245614
52,"Nacetin PO","Schulze_2000_tcan",58,9940,"Nacetin","PO","woody","2TEN","ANPP","1995",NA,NA,3.46,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Czech Republic",50.58,13.25,775,5.9,935,348,"Palearctic","Cfb","Temperate mountain system","NAC","1937","Planted","1937","NAC","NAC",0,0,0,"temperate","BNPP_root_fine","1995",NA,NA,0.58,TRUE,5.2,6.9,0.27,65.35,18.5,-6.2,24.7,13.5,-2.4,13.5,-3.2,808,95,49,21,269,160,269,171,74.1869883040936,131.002894736842,667.074561403509,178.057894736842
53,"Nacetin PO","Schulze_2000_tcan",58,9943,"Nacetin","PO","woody","2TEN","ANPP","1995",NA,NA,4.76,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Czech Republic",50.58,13.25,775,5.9,935,348,"Palearctic","Cfb","Temperate mountain system","NAC","1937","Planted","1937","NAC","NAC",0,0,0,"temperate","BNPP_root_fine","1995",NA,NA,0.58,TRUE,5.2,6.9,0.27,65.35,18.5,-6.2,24.7,13.5,-2.4,13.5,-3.2,808,95,49,21,269,160,269,171,74.1869883040936,131.002894736842,667.074561403509,178.057894736842
54,"O site 50/250 yr","Law_2001_csaf",250,10266,"O site","50/250 yr","woody","2TEN","ANPP",NA,"1999","2000",1.57,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",44.5,-121.617,915,8,524,366,"Nearctic","Csb","Temperate mountain system","NAC","1749","NAC","NAC","No disturbance","NI",0,0,0,"temperate","BNPP_root_fine",NA,"1999","2000",2.76,TRUE,7.3,14.6,0.44,61.95,27.1,-5.6,32.7,0.2,15.3,15.6,-0.2,780,130,15,60,371,67,68,347,66.8328947368421,205.400614035088,761.801754385965,121.594298245614
55,"Pasoh Forest Reserve primary forest","Kira_1998_ntfk",999,10941,"Pasoh Forest Reserve","primary forest","woody","2TEB","ANPP",NA,"1971","1973",9.91,"NAC","Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Malaysia",2.966,102.3,112.5,26.33333333,1804,605,"IndoMalay","Af","Tropical rainforest","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,"tropical","BNPP_root_fine",NA,"1971","1973",1.92,TRUE,26.5,9.5,0.86,4.62,32.1,21.1,11,26.1,26.6,27,25.8,1968,253,102,30,706,323,525,629,73.422514619883,0,1116.72456140351,227.363859649123
56,"Podocarpus 1 unmanaged","Moser_2011_eeot",999,11081,"Podocarpus 1","unmanaged","woody","2TEB","ANPP",NA,"2003","2004",4.46,"NAC","Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Ecuador",-4.12,-78.97,1050,19.39999962,2230,114,"Neotropics","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","BNPP_root_fine",NA,"2003","2004",1.06,TRUE,21.8,11.5,0.81,6.01,29.4,15.3,14.1,21.7,22.3,22.6,21,1772,201,112,16,537,379,392,402,73.506432748538,0.474210526315789,1667.45701754386,183.060350877193
57,"Podocarpus 1 unmanaged","Moser_2011_eeot",999,11080,"Podocarpus 1","unmanaged","woody","2TEB","ANPP",NA,"2003","2004",3.91,"NAC","Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Ecuador",-4.12,-78.97,1050,19.39999962,2230,114,"Neotropics","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","BNPP_root_fine",NA,"2003","2004",1.06,TRUE,21.8,11.5,0.81,6.01,29.4,15.3,14.1,21.7,22.3,22.6,21,1772,201,112,16,537,379,392,402,73.506432748538,0.474210526315789,1667.45701754386,183.060350877193
58,"Podocarpus 2 unmanaged","Moser_2011_eeot",999,11098,"Podocarpus 2","unmanaged","woody","2TEB","ANPP",NA,"2003","2004",3.79,"NAC","Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Ecuador",-4.11,-78.97,1540,17.5,2300,114,"Neotropics","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","BNPP_root_fine",NA,"2003","2004",1.5,TRUE,21.5,11.9,0.83,4.99,29.2,15,14.2,21.4,21,22.1,20.8,1603,189,105,20,511,334,357,346,73.506432748538,0.474210526315789,1667.45701754386,183.060350877193
59,"Podocarpus 2 unmanaged","Moser_2011_eeot",999,11097,"Podocarpus 2","unmanaged","woody","2TEB","ANPP",NA,"2003","2004",3.34,"NAC","Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Ecuador",-4.11,-78.97,1540,17.5,2300,114,"Neotropics","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","BNPP_root_fine",NA,"2003","2004",1.5,TRUE,21.5,11.9,0.83,4.99,29.2,15,14.2,21.4,21,22.1,20.8,1603,189,105,20,511,334,357,346,73.506432748538,0.474210526315789,1667.45701754386,183.060350877193
60,"Prince Albert SSA (SOAS) natural regeneration after 1919 fire","Gower_2001_nppa",75,11790,"Prince Albert SSA (SOAS)","natural regeneration after 1919 fire","woody","2TDB","ANPP","1994",NA,NA,2.73,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Canada",53.629,-106.2,520,0.75,413.5,621,"Nearctic","Dfc","Boreal coniferous forest","NAC","1919","Initiation of post-disturbance cohort (natural)","1919","Burned","1919",0,0,0,"boreal","BNPP_root_fine","1994",NA,NA,0.26,TRUE,0.1,12.3,0.25,127.32,23.3,-24.9,48.2,15.4,-15,15.4,-17,445,76,15,53,206,58,206,59,57.7235380116959,227.521228070175,610.544736842105,93.9292105263158
61,"Prince Albert SSA (SOBS) natural regeneration after 1879 wildfire","Gower_2001_nppa",115,11891,"Prince Albert SSA (SOBS)","natural regeneration after 1879 wildfire","woody","2TEN","ANPP","1994",NA,NA,1.33,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Canada",53.987,-105.12,520,1.1,359.33,619,"Nearctic","Dfc","Boreal coniferous forest","NAC","1879","Initiation of post-disturbance cohort (natural)","1904","Burned","1879",0,0,0,"boreal","BNPP_root_fine","1994",NA,NA,1.06,TRUE,-0.9,11.9,0.23,131.01,22.7,-27.1,49.8,14.8,-18.7,14.8,-18.7,486,79,18,50,216,64,216,64,58.0924707602339,222.424824561404,627.748245614035,93.2994736842105
62,"Prince Albert SSA (SOJP) natural regeneration after 1929 wildfire","Gower_2001_nppa",65,11976,"Prince Albert SSA (SOJP)","natural regeneration after 1929 wildfire","woody","2TEN","ANPP","1994",NA,NA,1.16,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Canada",53.916,-104.692,579,1,421,620,"Nearctic","Dfc","Boreal coniferous forest","NAC","1929","Initiation of post-disturbance cohort (natural)","1929","Burned","1929",0,0,0,"boreal","BNPP_root_fine","1994",NA,NA,0.94,TRUE,-0.6,11.8,0.23,131.82,23,-26.9,49.9,15.1,-18.6,15.1,-18.6,482,77,17,50,213,62,213,62,58.2739035087719,221.056315789474,637.587719298246,86.030350877193
63,"Reserva Biologica San Francisco 1 unmanaged","Moser_2011_eeot",999,12349,"Reserva Biologica San Francisco 1","unmanaged","woody","2TEB","ANPP",NA,"2003","2004",2.93,"NAC","Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Ecuador",-3.98,-79.1,1890,15.69999981,1950,114,"Neotropics","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","BNPP_root_fine",NA,"2003","2004",1.35,TRUE,16.5,10,0.82,3.93,22.9,10.8,12.1,16.7,16.7,16.8,15.8,1210,137,77,17,363,248,263,309,74.8491228070176,72.205350877193,1457.06666666667,179.432105263158
64,"Reserva Biologica San Francisco 1 unmanaged","Moser_2011_eeot",999,12350,"Reserva Biologica San Francisco 1","unmanaged","woody","2TEB","ANPP",NA,"2003","2004",3.36,"NAC","Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Ecuador",-3.98,-79.1,1890,15.69999981,1950,114,"Neotropics","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","BNPP_root_fine",NA,"2003","2004",1.35,TRUE,16.5,10,0.82,3.93,22.9,10.8,12.1,16.7,16.7,16.8,15.8,1210,137,77,17,363,248,263,309,74.8491228070176,72.205350877193,1457.06666666667,179.432105263158
65,"Reserva Biologica San Francisco 2 unmanaged","Moser_2011_eeot",999,12367,"Reserva Biologica San Francisco 2","unmanaged","woody","2TEB","ANPP",NA,"2003","2004",1.64,"NAC","Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Ecuador",-3.99,-79.1,2380,13.19999981,5000,114,"Neotropics","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","BNPP_root_fine",NA,"2003","2004",1.79,TRUE,15.9,9.9,0.83,3.65,22.2,10.4,11.8,16,15.8,16.3,15.3,1164,138,69,19,371,234,266,266,74.8491228070176,72.205350877193,1457.06666666667,179.432105263158
66,"Reserva Biologica San Francisco 2 unmanaged","Moser_2011_eeot",999,12366,"Reserva Biologica San Francisco 2","unmanaged","woody","2TEB","ANPP",NA,"2003","2004",1.45,"NAC","Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Ecuador",-3.99,-79.1,2380,13.19999981,5000,114,"Neotropics","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","BNPP_root_fine",NA,"2003","2004",1.79,TRUE,15.9,9.9,0.83,3.65,22.2,10.4,11.8,16,15.8,16.3,15.3,1164,138,69,19,371,234,266,266,74.8491228070176,72.205350877193,1457.06666666667,179.432105263158
67,"San Carlos de Rio Negro Species-rich Tierra Firme (Oxisols) unmanaged Mature terra firma","Jordan_1999_ntfs",999,12943,"San Carlos de Rio Negro Species-rich Tierra Firme (Oxisols)","unmanaged Mature terra firma","woody","2TEB","ANPP",NA,"1975","1981",6.81,"NAC","Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Venezuela",1.93,-67.05,119,25.98,3500,657,"Neotropics","Af","Tropical rainforest","NAC","NAC","Initiation of post-disturbance cohort (natural)","1750","Burned","1750",0,0,0,"tropical","BNPP_root_fine",NA,"1975","1981",5.36,TRUE,26.2,13.3,0.92,4.13,33.7,19.3,14.4,25.6,26.4,26.5,25.6,3432,399,197,23,1154,638,740,1154,70.6197368421053,0,1134.38596491228,232.585087719298
68,"San Carlos de Rio Negro Species-rich Tierra Firme (Oxisols) unmanaged Mature terra firma","Jordan_1999_ntfs",999,12940,"San Carlos de Rio Negro Species-rich Tierra Firme (Oxisols)","unmanaged Mature terra firma","woody","2TEB","ANPP",NA,"1975","1981",5.18,"NAC","Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Venezuela",1.93,-67.05,119,25.98,3500,657,"Neotropics","Af","Tropical rainforest","NAC","NAC","Initiation of post-disturbance cohort (natural)","1750","Burned","1750",0,0,0,"tropical","BNPP_root_fine",NA,"1975","1981",5.36,TRUE,26.2,13.3,0.92,4.13,33.7,19.3,14.4,25.6,26.4,26.5,25.6,3432,399,197,23,1154,638,740,1154,70.6197368421053,0,1134.38596491228,232.585087719298
69,"San Carlos de Rio Negro Tall Caatinga mature tall caatinga natural forest","Medina_1989_pona",999,18663,"San Carlos de Rio Negro Tall Caatinga","mature tall caatinga natural forest","woody","2TEB","ANPP","NI","NI","NI",5.405,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Venezuela",1.93,-67.05,117,26.2,3600,657,"Neotropics","Af","Tropical rainforest","0.13","NI","NI","NI","NI","NI",0,0,1,"tropical","BNPP_root_fine","NI","NI","NI",0.564,TRUE,26.2,13.3,0.92,4.13,33.7,19.3,14.4,25.6,26.4,26.5,25.6,3432,399,197,23,1154,638,740,1154,70.6197368421053,0,1134.38596491228,232.585087719298
70,"San Carlos de Rio Negro Tall Caatinga mature tall caatinga natural forest","Medina_1989_pona",999,18662,"San Carlos de Rio Negro Tall Caatinga","mature tall caatinga natural forest","woody","2TEB","ANPP","NI","NI","NI",4.512,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Venezuela",1.93,-67.05,117,26.2,3600,657,"Neotropics","Af","Tropical rainforest","0.13","NI","NI","NI","NI","NI",0,0,1,"tropical","BNPP_root_fine","NI","NI","NI",0.564,TRUE,26.2,13.3,0.92,4.13,33.7,19.3,14.4,25.6,26.4,26.5,25.6,3432,399,197,23,1154,638,740,1154,70.6197368421053,0,1134.38596491228,232.585087719298
71,"San Pedro unmanaged upland tropical forest","Girardin_2010_nppa",999,13017,"San Pedro","unmanaged upland tropical forest","woody","2TEB","ANPP",NA,"2007","2008",4.38,"NAC","Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Peru",-13.05,-71.54,1500,18.8,2631,673,"Neotropics","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","BNPP_root_fine",NA,"2007","2008",1.7,TRUE,21.1,13,0.79,7.45,29.1,12.8,16.3,21.2,20.1,21.8,20,2518,372,92,47,1039,292,715,303,59.6845029239766,87.1179824561404,1106.25964912281,110.999912280702
72,"San Pedro unmanaged upland tropical forest","Girardin_2010_nppa",999,17918,"San Pedro","unmanaged upland tropical forest","woody","2TEB","ANPP","2005","2003","2007",4.136,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Peru",-13.05,-71.54,1500,18.8,2631,673,"Neotropics","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","BNPP_root_fine",NA,"2007","2008",1.7,TRUE,21.1,13,0.79,7.45,29.1,12.8,16.3,21.2,20.1,21.8,20,2518,372,92,47,1039,292,715,303,59.6845029239766,87.1179824561404,1106.25964912281,110.999912280702
73,"San Pedro unmanaged upland tropical forest","Girardin_2010_nppa",999,13018,"San Pedro","unmanaged upland tropical forest","woody","2TEB","ANPP",NA,"2007","2008",4.98,"NAC","Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Peru",-13.05,-71.54,1500,18.8,2631,673,"Neotropics","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","BNPP_root_fine",NA,"2007","2008",1.7,TRUE,21.1,13,0.79,7.45,29.1,12.8,16.3,21.2,20.1,21.8,20,2518,372,92,47,1039,292,715,303,59.6845029239766,87.1179824561404,1106.25964912281,110.999912280702
