"","site_plot","citation.ID","stand.age","measurement.ID","sites.sitename","plot.name","dominant.life.form","dominant.veg","variable.name.x","date.x","start.date.x","end.date.x","ANPP_canopy","min.dbh","required.citations","ForC.investigator","country","lat","lon","masl","mat","map","geographic.area","biogeog","Koeppen","FAO.ecozone","plot.area","year.establishment.oldest.trees","regrowth.type","regrowth.year","distmrs.type","distmrs.year","managed","disturbed","history.no.info","optional","AnnualMeanTemp","MeanDiurnalRange","TempSeasonality","TempRangeAnnual","ANPP_woody_stem","PreSeasonality","CloudCover","AnnualFrostDays","AnnualPET","AnnualWetDays","VapourPressure","SolarRadiation","Aridity","PotentialEvapotranspiration","VapourPressureDeficit","biomes","variable.name.y","date.y","start.date.y","end.date.y","mean.y"
"41","Canal Flats xeric 1 unmanaged","Comeau_1999_nbfc",70,2550,"Canal Flats xeric 1","unmanaged","woody","2TEN","ANPP_foliage","1984",NA,NA,0.57,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Canada",50.1,-115.25,1340,1.4,634,"129","North America","Dfc","Temperate mountain system","NAC","1914","Initiation of post-disturbance cohort (natural)","NAC","Burned","NAC",0,0,0,TRUE,0.5,12.1,79.86,37,710,18,63.37807018,290.3835965,564.7938596,128.1683333,0.047166667,467212.5,7802,877,0.345041667,"temperate","ANPP_woody_stem","1984",NA,NA,1
"42","Canal Flats xeric 2 unmanaged","Comeau_1999_nbfc",70,2567,"Canal Flats xeric 2","unmanaged","woody","2TEN","ANPP_foliage","1984",NA,NA,0.57,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Canada",50.1,-115.25,1340,1.4,634,"129","North America","Dfc","Temperate mountain system","NAC","1914","Initiation of post-disturbance cohort (natural)","NAC","Burned","NAC",0,0,0,TRUE,0.5,12.1,79.86,37,710,18,63.37807018,290.3835965,564.7938596,128.1683333,0.047166667,467212.5,7802,877,0.345041667,"temperate","ANPP_woody_stem","1984",NA,NA,0.91
"43","Cascade Head 10 unmanaged","Luyssaert_2007_cbob",185,2665,"Cascade Head 10","unmanaged","woody","2TEN","ANPP_foliage","2001",NA,NA,1.59,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",45.0679,-123.8882,255,NA,NA,"137","North America","Csb","Temperate mountain system","NAC","1816","Initiation of post-disturbance cohort (natural)","1816","NAC","NAC",0,0,0,TRUE,9.2,10,37.66,20.4,2747,66,69.49524854,81.03947368,696.477193,169.9778947,0.096083333,452242.3,31760,869,0.322152778,"temperate","ANPP_woody_stem","2001",NA,NA,1.83
"44","Cascade Head 11 unmanaged","Luyssaert_2007_cbob",168,2688,"Cascade Head 11","unmanaged","woody","2TEN","ANPP_foliage","2001",NA,NA,1.22,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",45.0819,-123.9038,236,NA,NA,"137","North America","Csb","Temperate mountain system","NAC","1833","Initiation of post-disturbance cohort (natural)","1833","NAC","NAC",0,0,0,TRUE,9.5,9.8,36.64,19.9,2649,65,69.49524854,81.03947368,696.477193,169.9778947,0.098583333,452063.3,30721,865,0.322152778,"temperate","ANPP_woody_stem","2001",NA,NA,1.47
"45","Cascade Head 12 unmanaged","Luyssaert_2007_cbob",178,2711,"Cascade Head 12","unmanaged","woody","2TEN","ANPP_foliage","2001",NA,NA,1.28,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",45.0445,-123.9007,261,NA,NA,"137","North America","Csb","Temperate mountain system","NAC","1823","Initiation of post-disturbance cohort (natural)","1823","NAC","NAC",0,0,0,TRUE,9.5,9.8,37.13,20,2662,65,69.49524854,81.03947368,696.477193,169.9778947,0.09825,453772.4,29886,895,0.322152778,"temperate","ANPP_woody_stem","2001",NA,NA,1.17
"46","Caxiuana 1 CAX-01 terra firma","Malhi_2004_tacw",999,18279,"Caxiuana 1 CAX-01","terra firma","woody","2TEB","ANPP_litterfall","1996","1994","1999",4.512,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Brazil",-1.7,-51.53,15,26.7,2220,"140","South America","Am","Tropical rainforest","1","NAC","NAC","NAC","No disturbance","1904",0,0,0,TRUE,26.8,9.7,4.56,11.2,2220,51,78.64656433,0,1110.22193,251.3558772,0.28775,568172.2,15858,1411,0.574180556,"tropical","ANPP_woody_stem","1996","1994","1999",2.538
"47","Caxiuana 2 CAX-02 terra firma","Malhi_2004_tacw",999,18280,"Caxiuana 2 CAX-02","terra firma","woody","2TEB","ANPP_litterfall","1997","1995","1999",4.3099,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Brazil",-1.7,-51.53,15,26.7,2220,"140","South America","Am","Tropical rainforest","1","NAC","NAC","NAC","No disturbance","1904",0,0,0,TRUE,26.8,9.7,4.56,11.2,2220,51,78.64656433,0,1110.22193,251.3558772,0.28775,568172.2,15858,1411,0.574180556,"tropical","ANPP_woody_stem","1997","1995","1999",2.0492
"48","Caxiuana 3 CAX-03","Aragao_2009_aabn",999,18272,"Caxiuana 3","CAX-03","woody","2TEB","ANPP_litterfall","2004","2004","2005",3.854,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Brazil",-1.737,-51.462,NA,26.96,2314,"NAC","South America","Af","Tropical rainforest","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,TRUE,26.7,9.8,4.17,11.3,2193,52,78.23530702,0,1111.834211,257.3783333,0.287583333,566368.8,15571,1409,0.583708333,"tropical","ANPP_woody_stem","2004","2001","2007",1.88
"49","Caxiuana 4 CAX-06","Aragao_2009_aabn",999,18274,"Caxiuana 4","CAX-06","woody","2TEB","ANPP_litterfall","2004","2004","2005",4.465,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Brazil",-1.72,-51.455,NA,26.96,2314,"NAC","South America","Af","Tropical rainforest","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,TRUE,26.8,9.7,4.35,11.3,2202,51,78.23530702,0,1111.834211,257.3783333,0.288,565979.3,15731,1409,0.588013889,"tropical","ANPP_woody_stem","NI","NI","NI",2.0492
"50","Caxiuana 5 CAX-05","Aragao_2009_aabn",999,18273,"Caxiuana 5","CAX-05","woody","2TEB","ANPP_litterfall","2004","2004","2005",5.264,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Brazil",-1.72,-51.458,NA,26.96,2314,"NAC","South America","Af","Tropical rainforest","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,TRUE,26.8,9.7,4.35,11.3,2202,51,78.23530702,0,1111.834211,257.3783333,0.288,565979.3,15731,1409,0.588013889,"tropical","ANPP_woody_stem","2004","2001","2007",2.35
"51","Caxiuana Drought Control CAX-04 largely undisturbed terra firma forest","Aragao_2009_aabn",999,2992,"Caxiuana Drought Control CAX-04","largely undisturbed terra firma forest","woody","2TEB","ANPP_litterfall",NA,"2004","2006",3.29,NA,"Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Brazil",-1.72,-51.46,47,25.8,2311,"140","South America","Af","Tropical rainforest","1","NAC","NAC","NAC","No disturbance","NI",0,0,0,TRUE,26.8,9.7,4.15,11.2,2204,51,78.23530702,0,1111.834211,257.3783333,0.2875,565969.4,15734,1409,0.583708333,"tropical","ANPP_woody_stem",NA,"2004","2006",2.444
"52","Caxiuana Drought Control CAX-04 largely undisturbed terra firma forest","da Costa_2014_eran",999,2980,"Caxiuana Drought Control CAX-04","largely undisturbed terra firma forest","woody","2TEB","ANPP_foliage",NA,"2010","2011",2.07,NA,"Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Brazil",-1.72,-51.46,47,25.8,2311,"140","South America","Af","Tropical rainforest","1","NAC","NAC","NAC","No disturbance","NI",0,0,0,TRUE,26.8,9.7,4.15,11.2,2204,51,78.23530702,0,1111.834211,257.3783333,0.2875,565969.4,15734,1409,0.583708333,"tropical","ANPP_woody_stem",NA,"2006","2011",2.55
"53","Caxiuana Terra Preta CAX-08 unmanaged Late successional forest","Aragao_2009_aabn",999,3001,"Caxiuana Terra Preta CAX-08","unmanaged Late successional forest","woody","2TEB","ANPP_litterfall",NA,"2004","2006",5.076,NA,"Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Brazil",-1.72,-51.5,NA,26.89999962,2314,"140","South America","Am","Tropical rainforest","1","NAC","NAC","NAC","No disturbance","1960",0,0,0,TRUE,26.7,9.7,4.48,11.4,2207,51,78.23530702,0,1111.834211,257.3783333,0.287083332,567038.3,15814,1409,0.583708333,"tropical","ANPP_woody_stem",NA,"2004","2006",2.35
"54","Caxiuana Tower CAX-06 tall primary forest near flux tower site","Aragao_2009_aabn",999,3014,"Caxiuana Tower CAX-06","tall primary forest near flux tower site","woody","2TEB","ANPP_litterfall",NA,"2004","2006",3.572,NA,"Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Brazil",-1.74,-51.46,47,25.8,2311,"140","South America","Af","Tropical rainforest","1","NAC","NAC","NAC","No disturbance","NI",0,0,0,TRUE,26.7,9.8,4.17,11.3,2193,52,78.23530702,0,1111.834211,257.3783333,0.287583333,566368.8,15571,1409,0.583708333,"tropical","ANPP_woody_stem",NA,"2004","2006",1.598
"55","Caxiuana unmanaged","Luyssaert_2007_cbob",999,2960,"Caxiuana","unmanaged","woody","2TEB","ANPP_foliage","2005",NA,NA,3.7,NA,"Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Brazil",-1.72,-51.45,NA,NA,2500,"140","South America","Af","Tropical rainforest","NAC","NAC","NAC","NAC","No disturbance","1970",0,0,0,TRUE,26.7,9.8,4.17,11.3,2205,51,78.23530702,0,1111.834211,257.3783333,0.2875,566913.3,15655,1412,0.588013889,"tropical","ANPP_woody_stem","2005",NA,NA,2.32
"56","Chamela 1 Lower unmanaged Mature terra firma","Clark_2001_nppi",999,3155,"Chamela 1 Lower","unmanaged Mature terra firma","woody","2TDB","ANPP_litterfall","NI","NI","NI",1.974,NA,"Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Mexico",19.5,-105.02,70,24.9,707,"153","North America","As","Tropical dry forest","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,TRUE,26.2,12.9,16.58,17.7,804,109,50.88633041,0,0,59.99482456,0.246416666,671407.2,5423,1799,0.987972222,"tropical","ANPP_woody_stem","NI","NI","NI",1.41
"57","Chamela 2 Middle unmanaged Mature terra firma","Clark_2001_nppi",999,3174,"Chamela 2 Middle","unmanaged Mature terra firma","woody","2TDB","ANPP_litterfall","NI","NI","NI",1.504,NA,"Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Mexico",19.5,-105.02,130,24.95,743.5,"153","North America","As","Tropical dry forest","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,TRUE,26.2,12.9,16.58,17.7,804,109,50.88633041,0,0,59.99482456,0.246416666,671407.2,5423,1799,0.987972222,"tropical","ANPP_woody_stem","NI","NI","NI",1.128
"58","Chamela 3 Upper unmanaged Mature terra firma","Clark_2001_nppi",999,3180,"Chamela 3 Upper","unmanaged Mature terra firma","woody","2TDB","ANPP_litterfall","NI","NI","NI",1.551,NA,"Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Mexico",19.5,-105.02,150,24.9,707,"153","North America","As","Tropical dry forest","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,TRUE,26.2,12.9,16.58,17.7,804,109,50.88633041,0,0,59.99482456,0.246416666,671407.2,5423,1799,0.987972222,"tropical","ANPP_woody_stem","NI","NI","NI",0.94
"59","Chamela hill Hill","Martinez-Yrizar_1992_agpo",999,18330,"Chamela hill","Hill","woody","2TDB","ANPP_litterfall","NI","NI","NI",1.8565,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Mexico",19.487,-105.034,NA,24.9,707,"NAC","North America","As","Tropical dry forest","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,TRUE,26.2,12.8,16.53,17.6,790,110,50.88633041,0,0,59.99482456,0.247916669,672307.2,5258,1800,0.987972222,"tropical","ANPP_woody_stem","NI","NI","NI",1.128
"60","Chamela valley Valley","Martinez-Yrizar_1992_agpo",999,18331,"Chamela valley","Valley","woody","2TDB","ANPP_litterfall","NI","NI","NI",3.055,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Mexico",19.487,-105.034,NA,24.9,707,"NAC","North America","As","Tropical dry forest","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,TRUE,26.2,12.8,16.53,17.6,790,110,50.88633041,0,0,59.99482456,0.247916669,672307.2,5258,1800,0.987972222,"tropical","ANPP_woody_stem","NI","NI","NI",1.41
"61","Chhindwara Site I","Pande_2005_bapi",999,18302,"Chhindwara","Site I","woody","2TEB","ANPP_litterfall","1998","1998","1998",1.551,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","India",21.67,78.67,NA,25,1247,"NAC","Asia","As","Tropical dry forest","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,TRUE,26,12.6,43.64,29.6,1016,122,38.57361111,8.77e-05,1732.604386,55.14964912,0.176916665,720661.2,4472,2195,1.915361111,"tropical","ANPP_woody_stem","1998","1998","1998",2.7683
"62","Chhindwara Site II","Pande_2005_bapi",999,18303,"Chhindwara","Site II","woody","2TEB","ANPP_litterfall","1998","1998","1998",2.1291,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","India",21.67,78.67,NA,25,1247,"NAC","Asia","As","Tropical dry forest","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,TRUE,26,12.6,43.64,29.6,1016,122,38.57361111,8.77e-05,1732.604386,55.14964912,0.176916665,720661.2,4472,2195,1.915361111,"tropical","ANPP_woody_stem","1998","1998","1998",2.0445
"63","Chhindwara Site III","Pande_2005_bapi",999,18304,"Chhindwara","Site III","woody","2TEB","ANPP_litterfall","1998","1998","1998",1.5369,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","India",21.67,78.67,NA,25,1247,"NAC","Asia","As","Tropical dry forest","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,TRUE,26,12.6,43.64,29.6,1016,122,38.57361111,8.77e-05,1732.604386,55.14964912,0.176916665,720661.2,4472,2195,1.915361111,"tropical","ANPP_woody_stem","1998","1998","1998",1.9411
"64","Chhindwara Site IV","Pande_2005_bapi",999,18305,"Chhindwara","Site IV","woody","2TEB","ANPP_litterfall","1998","1998","1998",1.551,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","India",21.67,78.67,NA,25,1247,"NAC","Asia","As","Tropical dry forest","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,TRUE,26,12.6,43.64,29.6,1016,122,38.57361111,8.77e-05,1732.604386,55.14964912,0.176916665,720661.2,4472,2195,1.915361111,"tropical","ANPP_woody_stem","1998","1998","1998",1.833
"65","Cinnamon Bay I Cinnamon Bay","Weaver_2006_etef",999,18453,"Cinnamon Bay I","Cinnamon Bay","woody","2TREE","ANPP_litterfall","NRA","NRA","NRA",4.042,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States Virgin Islands",18.33,-64.73,NA,24.8,1240,"NAC","North America","Am","Tropical rainforest","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,TRUE,24.3,6.8,11.75,10,1289,34,56.94656433,0,0,162.4360526,0.243916668,722665.1,6314,1973,0.913569444,"tropical","ANPP_woody_stem","NRA","NRA","NRA",0.6627
"66","Colorado Forest Colorado forest","Weaver_1990_fsap",999,18454,"Colorado Forest","Colorado forest","woody","2TEB","ANPP_litterfall","1982","1981","1983",3.196,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",18.3,-65.7,725,NA,3725,"81","North America","Am","Tropical rainforest","0.8","NAC","NAC","NAC","NAC","NAC",0,0,1,TRUE,25.7,8.6,12.31,12,1974,32,59.9997076,0,1199.021053,214.942193,0.253666663,684452.4,10101,1833,0.828666667,"tropical","ANPP_woody_stem","1982","1981","1983",0.282
"67","Cove Forest Long Branch 1 Long Branch 1","Clebsch_1989_ssgd",200,18691,"Cove Forest Long Branch 1","Long Branch 1","woody","2TDB","ANPP_foliage","1988","1988","1988",1.457,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",35.687,-83.417,920,NA,NA,"NAC","North America","Cfa","Temperate mountain system","NAC","1780","Initiation of post-disturbance cohort (planted or natural)","1780","NAC","NAC",0,0,0,TRUE,10.4,13,71.35,32.4,1552,11,61.37163743,109.565,947.4622807,124.7280702,0.106250001,537173,13451,1156,0.447194444,"temperate","ANPP_woody_stem","1988","1988","1988",1.269
"68","Cove Forest Long Branch 2 Long Branch 2","Clebsch_1989_ssgd",200,18696,"Cove Forest Long Branch 2","Long Branch 2","woody","2TDB","ANPP_foliage","1988","1988","1988",1.457,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",35.686,-83.42,950,NA,NA,"NAC","North America","Cfa","Temperate mountain system","NAC","1780","Initiation of post-disturbance cohort (planted or natural)","1780","NAC","NAC",0,0,0,TRUE,10.4,13,71.35,32.4,1552,11,61.37163743,109.565,947.4622807,124.7280702,0.106250001,537173,13451,1156,0.447194444,"temperate","ANPP_woody_stem","1988","1988","1988",1.175
"69","Cove Forest Long Branch Young 1 Young","Clebsch_1989_ssgd",63,18727,"Cove Forest Long Branch Young 1","Young","woody","2TDB","ANPP_foliage","1983","1983","1983",2.021,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",35.687,-83.417,920,NA,NA,"NAC","North America","Cfa","Temperate mountain system","NAC","1920","Initiation of post-disturbance cohort (planted or natural)","1920","NAC","NAC",0,0,0,TRUE,10.4,13,71.35,32.4,1552,11,61.37163743,109.565,947.4622807,124.7280702,0.106250001,537173,13451,1156,0.447194444,"temperate","ANPP_woody_stem","1983","1983","1983",3.619
"70","Cove Forest Porters Creek Porters Creek","Clebsch_1989_ssgd",200,18701,"Cove Forest Porters Creek","Porters Creek","woody","2TDB","ANPP_foliage","1989","1989","1989",1.88,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",35.681,-83.399,720,NA,NA,"NAC","North America","Cfa","Temperate mountain system","NAC","1780","Initiation of post-disturbance cohort (planted or natural)","1780","NAC","NAC",0,0,0,TRUE,11.2,13.6,71.4,33,1449,12,61.37163743,109.565,947.4622807,124.7280702,0.111749999,539090.2,12025,1202,0.511472222,"temperate","ANPP_woody_stem","1989","1989","1989",1.692
"71","Cove Forest Roaring Fork 1 Roaring Fork 1","Clebsch_1989_ssgd",200,18706,"Cove Forest Roaring Fork 1","Roaring Fork 1","woody","2TDB","ANPP_foliage","1990","1990","1990",1.551,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",35.679,-83.464,990,NA,NA,"NAC","North America","Cfa","Temperate mountain system","NAC","1780","Initiation of post-disturbance cohort (planted or natural)","1780","NAC","NAC",0,0,0,TRUE,10.5,13.1,71.34,32.5,1546,11,61.37163743,109.565,947.4622807,124.7280702,0.10725,537055.5,13312,1162,0.514583333,"temperate","ANPP_woody_stem","1990","1990","1990",1.692
"72","Cove Forest Roaring Fork 2 Roaring Fork 2","Clebsch_1989_ssgd",200,18711,"Cove Forest Roaring Fork 2","Roaring Fork 2","woody","2TDB","ANPP_foliage","1990","1990","1990",1.739,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",35.681,-83.462,960,NA,NA,"NAC","North America","Cfa","Temperate mountain system","NAC","1780","Initiation of post-disturbance cohort (planted or natural)","1780","NAC","NAC",0,0,0,TRUE,10.5,13.1,71.34,32.5,1546,11,61.37163743,109.565,947.4622807,124.7280702,0.10725,537055.5,13312,1162,0.514583333,"temperate","ANPP_woody_stem","1990","1990","1990",1.786
"73","Cove Forest Roaring Fork 3 Roaring Fork 3","Clebsch_1989_ssgd",200,18716,"Cove Forest Roaring Fork 3","Roaring Fork 3","woody","2TDB","ANPP_foliage","1990","1990","1990",1.88,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",35.676,-83.452,1140,NA,NA,"NAC","North America","Cfa","Temperate mountain system","NAC","1780","Initiation of post-disturbance cohort (planted or natural)","1780","NAC","NAC",0,0,0,TRUE,10.3,13,71.3,32.4,1566,11,61.37163743,109.565,947.4622807,124.7280702,0.106166668,536191.3,13608,1154,0.447194444,"temperate","ANPP_woody_stem","1990","1990","1990",2.209
"74","Dinghushan 6 Cryptocarya concinna community","Zhang_1996_baeo",999,4107,"Dinghushan 6","Cryptocarya concinna community","woody","2TEB","ANPP_foliage","1992",NA,NA,3.737299,NA,"Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","China",23.18,112.53,200,21,1927,"214","Asia","Cfa","Subtropical humid forest","NAC","NAC","Initiation of post-disturbance cohort (natural)","1948","Harvest","1948",0,0,0,TRUE,20.6,7.7,54.84,23.4,1704,65,70.36725146,0.998245614,1036.721053,166.0018421,0.196166665,501526.4,14388,1277,0.679847222,"subtropical","ANPP_woody_stem","1992",NA,NA,2.040082
"75","El Verde El Verde Dwarf","Weaver_1986_eoit",999,18634,"El Verde","El Verde Dwarf","woody","2TEB","ANPP_litterfall","1977","1976","1978",1.457,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",18.42,-66,1000,23.1,4500,"NAC","North America","Am","Tropical moist forest","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,TRUE,25.8,8.3,12.45,11.7,1655,27,59.9997076,0,1199.021053,214.942193,0.259750001,678615.6,7522,1992,1.018180556,"tropical","ANPP_woody_stem","1977","1976","1978",0.235
"76","El Verde El Verde Dwarf","Weaver_1990_fsap",999,18359,"El Verde","El Verde Dwarf","woody","2TEB","ANPP_litterfall","1982","1981","1983",1.645,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",18.42,-66,1000,23.1,4500,"NAC","North America","Am","Tropical moist forest","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,TRUE,25.8,8.3,12.45,11.7,1655,27,59.9997076,0,1199.021053,214.942193,0.259750001,678615.6,7522,1992,1.018180556,"tropical","ANPP_woody_stem","1982","1981","1983",0.2162
"77","Emigrant Butte 6 unmanaged","Luyssaert_2007_cbob",118,4882,"Emigrant Butte 6","unmanaged","woody","2TEN","ANPP_foliage","2001",NA,NA,1.54,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",43.4949,-122.1896,1439,NA,NA,"240","North America","Csb","Temperate mountain system","NAC","1883","Initiation of post-disturbance cohort (natural)","1883","NAC","NAC",0,0,0,TRUE,5.1,13.7,60.21,31.3,1318,67,64.13326023,201.5639474,822.6192982,117.5963158,0.058,527075.4,12351,1089,0.491236111,"temperate","ANPP_woody_stem","2001",NA,NA,2.79
"78","Fontainebleu Fontainebleu","DeAngelis_1981_pofe",999,20267,"Fontainebleu","Fontainebleu","woody","2TDB","ANPP_litterfall","1970","1968","1974",2.3453,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","France",48.4764,2.7801,135,10.15,674,"NAC","Europe","Cfb","Temperate oceanic forest","NAC","NAC","Initiation of post-disturbance cohort (planted or natural)","NAC","NAC","NAC",0,0,0,TRUE,10.9,8.9,57.26,24.4,647,9,67.4629386,63.4022807,789.2105263,166.4426316,0.104583334,419736.9,6808,929,0.397305556,"temperate","ANPP_woody_stem","1970","1968","1974",2.2372
"79","Fontainebleu Fontainebleu","DeAngelis_1981_pofe",999,17688,"Fontainebleu","Fontainebleu","woody","2TDB","ANPP_foliage","1970","1968","1974",1.6215,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","France",48.4764,2.7801,135,10.15,674,"NAC","Europe","Cfb","Temperate oceanic forest","NAC","NAC","Initiation of post-disturbance cohort (planted or natural)","NAC","NAC","NAC",0,0,0,TRUE,10.9,8.9,57.26,24.4,647,9,67.4629386,63.4022807,789.2105263,166.4426316,0.104583334,419736.9,6808,929,0.397305556,"temperate","ANPP_woody_stem","1970","1968","1974",2.2372
"80","Grants Pass 6 unmanaged","Luyssaert_2007_cbob",307,5670,"Grants Pass 6","unmanaged","woody","2TEN","ANPP_foliage","2001",NA,NA,1.93,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",42.4725,-123.2665,954,NA,NA,"291","North America","Csb","Temperate mountain system","NAC","1694","Initiation of post-disturbance cohort (natural)","1694","NAC","NAC",0,0,0,TRUE,9,14.4,56.17,30.2,860,69,62.14057018,132.0842982,947.277193,110.1292105,0.077583333,528552.7,8536,1372,0.800888889,"temperate","ANPP_woody_stem","2001",NA,NA,2.85
"81","Hainich unmanaged","Bascietto_2003_dots",252,5892,"Hainich","unmanaged","woody","2TDB","ANPP_foliage",NA,"2000","2002",1.7,NA,"Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Germany",51.0792,10.453,440,8.09,794.92,"305","Europe","Cfb","Temperate oceanic forest","NAC","1750","Initiation of post-disturbance cohort (natural)","1750","NAC","NAC",0,0,0,TRUE,7.1,8.4,62.84,25.3,736,16,75.0377193,118.1057018,595.9719298,180.7215789,0.085666668,369192.6,10667,815,0.347,"temperate","ANPP_woody_stem",NA,"2000","2002",1.77
