"","site_plot","citation.ID","stand.age","measurement.ID","sites.sitename","plot.name","dominant.life.form","dominant.veg","variable.name.x","date.x","start.date.x","end.date.x","ANPP","min.dbh","required.citations","ForC.investigator","country","lat","lon","masl","mat","map","geographic.area","biogeog","Koeppen","FAO.ecozone","plot.area","year.establishment.oldest.trees","regrowth.type","regrowth.year","distmrs.type","distmrs.yr","managed","disturbed","history.no.info","biomes","variable.name.y","date.y","start.date.y","end.date.y","BNPP_root_fine"
"52","Nacetin PO","Schulze_2000_tcan",58,9940,"Nacetin","PO","woody","2TEN","ANPP","1995",NA,NA,3.46,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Czech Republic",50.58,13.25,775,5.9,935,"348","Palearctic","Cfb","Temperate mountain system","NAC","1937","Planted","1937","NAC","NAC",0,0,0,"temperate","BNPP_root_fine","1995",NA,NA,0.58
"53","Nacetin PO","Schulze_2000_tcan",58,9943,"Nacetin","PO","woody","2TEN","ANPP","1995",NA,NA,4.76,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Czech Republic",50.58,13.25,775,5.9,935,"348","Palearctic","Cfb","Temperate mountain system","NAC","1937","Planted","1937","NAC","NAC",0,0,0,"temperate","BNPP_root_fine","1995",NA,NA,0.58
"54","O site 50/250 yr","Law_2001_csaf",250,10266,"O site","50/250 yr","woody","2TEN","ANPP",NA,"1999","2000",1.57,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",44.5,-121.617,915,8,524,"366","Nearctic","Csb","Temperate mountain system","NAC","1749","NAC","NAC","No disturbance","NI",0,0,0,"temperate","BNPP_root_fine",NA,"1999","2000",2.76
"55","Pasoh Forest Reserve primary forest","Kira_1998_ntfk",999,10941,"Pasoh Forest Reserve","primary forest","woody","2TEB","ANPP",NA,"1971","1973",9.91,"NAC","Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Malaysia",2.966,102.3,112.5,26.33333333,1804,"605","IndoMalay","Af","Tropical rainforest","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,"tropical","BNPP_root_fine",NA,"1971","1973",1.92
"56","Podocarpus 1 unmanaged","Moser_2011_eeot",999,11081,"Podocarpus 1","unmanaged","woody","2TEB","ANPP",NA,"2003","2004",4.46,"NAC","Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Ecuador",-4.12,-78.97,1050,19.39999962,2230,"114","Neotropics","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","BNPP_root_fine",NA,"2003","2004",1.06
"57","Podocarpus 1 unmanaged","Moser_2011_eeot",999,11080,"Podocarpus 1","unmanaged","woody","2TEB","ANPP",NA,"2003","2004",3.91,"NAC","Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Ecuador",-4.12,-78.97,1050,19.39999962,2230,"114","Neotropics","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","BNPP_root_fine",NA,"2003","2004",1.06
"58","Podocarpus 2 unmanaged","Moser_2011_eeot",999,11098,"Podocarpus 2","unmanaged","woody","2TEB","ANPP",NA,"2003","2004",3.79,"NAC","Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Ecuador",-4.11,-78.97,1540,17.5,2300,"114","Neotropics","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","BNPP_root_fine",NA,"2003","2004",1.5
"59","Podocarpus 2 unmanaged","Moser_2011_eeot",999,11097,"Podocarpus 2","unmanaged","woody","2TEB","ANPP",NA,"2003","2004",3.34,"NAC","Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Ecuador",-4.11,-78.97,1540,17.5,2300,"114","Neotropics","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","BNPP_root_fine",NA,"2003","2004",1.5
"60","Prince Albert SSA (SOAS) natural regeneration after 1919 fire","Gower_2001_nppa",75,11790,"Prince Albert SSA (SOAS)","natural regeneration after 1919 fire","woody","2TDB","ANPP","1994",NA,NA,2.73,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Canada",53.629,-106.2,520,0.75,413.5,"621","Nearctic","Dfc","Boreal coniferous forest","NAC","1919","Initiation of post-disturbance cohort (natural)","1919","Burned","1919",0,0,0,"boreal","BNPP_root_fine","1994",NA,NA,0.26
"61","Prince Albert SSA (SOBS) natural regeneration after 1879 wildfire","Gower_2001_nppa",115,11891,"Prince Albert SSA (SOBS)","natural regeneration after 1879 wildfire","woody","2TEN","ANPP","1994",NA,NA,1.33,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Canada",53.987,-105.12,520,1.1,359.33,"619","Nearctic","Dfc","Boreal coniferous forest","NAC","1879","Initiation of post-disturbance cohort (natural)","1904","Burned","1879",0,0,0,"boreal","BNPP_root_fine","1994",NA,NA,1.06
"62","Prince Albert SSA (SOJP) natural regeneration after 1929 wildfire","Gower_2001_nppa",65,11976,"Prince Albert SSA (SOJP)","natural regeneration after 1929 wildfire","woody","2TEN","ANPP","1994",NA,NA,1.16,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Canada",53.916,-104.692,579,1,421,"620","Nearctic","Dfc","Boreal coniferous forest","NAC","1929","Initiation of post-disturbance cohort (natural)","1929","Burned","1929",0,0,0,"boreal","BNPP_root_fine","1994",NA,NA,0.94
"63","Reserva Biologica San Francisco 1 unmanaged","Moser_2011_eeot",999,12349,"Reserva Biologica San Francisco 1","unmanaged","woody","2TEB","ANPP",NA,"2003","2004",2.93,"NAC","Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Ecuador",-3.98,-79.1,1890,15.69999981,1950,"114","Neotropics","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","BNPP_root_fine",NA,"2003","2004",1.35
"64","Reserva Biologica San Francisco 1 unmanaged","Moser_2011_eeot",999,12350,"Reserva Biologica San Francisco 1","unmanaged","woody","2TEB","ANPP",NA,"2003","2004",3.36,"NAC","Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Ecuador",-3.98,-79.1,1890,15.69999981,1950,"114","Neotropics","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","BNPP_root_fine",NA,"2003","2004",1.35
"65","Reserva Biologica San Francisco 2 unmanaged","Moser_2011_eeot",999,12367,"Reserva Biologica San Francisco 2","unmanaged","woody","2TEB","ANPP",NA,"2003","2004",1.64,"NAC","Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Ecuador",-3.99,-79.1,2380,13.19999981,5000,"114","Neotropics","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","BNPP_root_fine",NA,"2003","2004",1.79
"66","Reserva Biologica San Francisco 2 unmanaged","Moser_2011_eeot",999,12366,"Reserva Biologica San Francisco 2","unmanaged","woody","2TEB","ANPP",NA,"2003","2004",1.45,"NAC","Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Ecuador",-3.99,-79.1,2380,13.19999981,5000,"114","Neotropics","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","BNPP_root_fine",NA,"2003","2004",1.79
"67","San Carlos de Rio Negro Species-rich Tierra Firme (Oxisols) unmanaged Mature terra firma","Jordan_1999_ntfs",999,12943,"San Carlos de Rio Negro Species-rich Tierra Firme (Oxisols)","unmanaged Mature terra firma","woody","2TEB","ANPP",NA,"1975","1981",6.81,"NAC","Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Venezuela",1.93,-67.05,119,25.98,3500,"657","Neotropics","Af","Tropical rainforest","NAC","NAC","Initiation of post-disturbance cohort (natural)","1750","Burned","1750",0,0,0,"tropical","BNPP_root_fine",NA,"1975","1981",5.36
"68","San Carlos de Rio Negro Species-rich Tierra Firme (Oxisols) unmanaged Mature terra firma","Jordan_1999_ntfs",999,12940,"San Carlos de Rio Negro Species-rich Tierra Firme (Oxisols)","unmanaged Mature terra firma","woody","2TEB","ANPP",NA,"1975","1981",5.18,"NAC","Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Venezuela",1.93,-67.05,119,25.98,3500,"657","Neotropics","Af","Tropical rainforest","NAC","NAC","Initiation of post-disturbance cohort (natural)","1750","Burned","1750",0,0,0,"tropical","BNPP_root_fine",NA,"1975","1981",5.36
"69","San Carlos de Rio Negro Tall Caatinga mature tall caatinga natural forest","Medina_1989_pona",999,18663,"San Carlos de Rio Negro Tall Caatinga","mature tall caatinga natural forest","woody","2TEB","ANPP","NI","NI","NI",5.405,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Venezuela",1.93,-67.05,117,26.2,3600,"657","Neotropics","Af","Tropical rainforest","0.13","NI","NI","NI","NI","NI",0,0,1,"tropical","BNPP_root_fine","NI","NI","NI",0.564
"70","San Carlos de Rio Negro Tall Caatinga mature tall caatinga natural forest","Medina_1989_pona",999,18662,"San Carlos de Rio Negro Tall Caatinga","mature tall caatinga natural forest","woody","2TEB","ANPP","NI","NI","NI",4.512,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Venezuela",1.93,-67.05,117,26.2,3600,"657","Neotropics","Af","Tropical rainforest","0.13","NI","NI","NI","NI","NI",0,0,1,"tropical","BNPP_root_fine","NI","NI","NI",0.564
"71","San Pedro unmanaged upland tropical forest","Girardin_2010_nppa",999,13017,"San Pedro","unmanaged upland tropical forest","woody","2TEB","ANPP",NA,"2007","2008",4.38,"NAC","Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Peru",-13.05,-71.54,1500,18.8,2631,"673","Neotropics","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","BNPP_root_fine",NA,"2007","2008",1.7
"72","San Pedro unmanaged upland tropical forest","Girardin_2010_nppa",999,17918,"San Pedro","unmanaged upland tropical forest","woody","2TEB","ANPP","2005","2003","2007",4.136,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Peru",-13.05,-71.54,1500,18.8,2631,"673","Neotropics","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","BNPP_root_fine",NA,"2007","2008",1.7
"73","San Pedro unmanaged upland tropical forest","Girardin_2010_nppa",999,13018,"San Pedro","unmanaged upland tropical forest","woody","2TEB","ANPP",NA,"2007","2008",4.98,"NAC","Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Peru",-13.05,-71.54,1500,18.8,2631,"673","Neotropics","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","BNPP_root_fine",NA,"2007","2008",1.7
"74","Sylvania unmanaged hemlock-hardwood old-growth","Desai_2005_cnee",350,14106,"Sylvania","unmanaged hemlock-hardwood old-growth","woody","2TM","ANPP",NA,"2002","2003",2.12,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","United States of America",46.24,-89.34,542,3.9,771,"730","Nearctic","Dfb","Temperate continental forest","NAC","1653","Initiation of post-disturbance cohort (natural)","1653","NAC","NAC",0,0,0,"temperate","BNPP_root_fine",NA,"2002","2003",0.99
"75","Tambopata-Candamo Reserve permanent plot TAM-05 terra firma unmanaged primary forest","Aragao_2009_aabn",999,14248,"Tambopata-Candamo Reserve permanent plot TAM-05","terra firma unmanaged primary forest","woody","2TEB","ANPP",NA,"2004","2006",8.93,"NAC","Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Peru",-12.830288,-69.270533,223,24.4,1900,"740","Neotropics","Af","Tropical rainforest","1","NAC","NAC","NAC","No disturbance","1904",0,0,0,"tropical","BNPP_root_fine",NA,"2004","2006",6.392
"76","Tambopata-Candamo Reserve permanent plot TAM-05 terra firma unmanaged primary forest","Girardin_2010_nppa",999,14255,"Tambopata-Candamo Reserve permanent plot TAM-05","terra firma unmanaged primary forest","woody","2TEB","ANPP",NA,"2007","2008",9.5,"NAC","Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Peru",-12.830288,-69.270533,223,24.4,1900,"740","Neotropics","Af","Tropical rainforest","1","NAC","NAC","NAC","No disturbance","1904",0,0,0,"tropical","BNPP_root_fine",NA,"2007","2008",6.8
"77","Tambopata-Candamo Reserve permanent plot TAM-05 terra firma unmanaged primary forest","Girardin_2010_nppa",999,14254,"Tambopata-Candamo Reserve permanent plot TAM-05","terra firma unmanaged primary forest","woody","2TEB","ANPP",NA,"2007","2008",8.4,"NAC","Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Peru",-12.830288,-69.270533,223,24.4,1900,"740","Neotropics","Af","Tropical rainforest","1","NAC","NAC","NAC","No disturbance","1904",0,0,0,"tropical","BNPP_root_fine",NA,"2007","2008",6.8
"78","Tambopata-Candamo Reserve permanent plot TAM-06 terra firma, floodplain unmanaged primary forest","Aragao_2009_aabn",999,14271,"Tambopata-Candamo Reserve permanent plot TAM-06","terra firma, floodplain unmanaged primary forest","woody","2TEB","ANPP",NA,"2004","2006",7.896,"NAC","Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Peru",-12.8385,-69.296,215,24.4,1900,"740","Neotropics","Af","Tropical rainforest","0.96","NAC","NAC","NAC","No disturbance","1904",0,0,0,"tropical","BNPP_root_fine",NA,"2004","2006",4.512
"79","Tambopata-Candamo Reserve permanent plot TAM-06 terra firma, floodplain unmanaged primary forest","Girardin_2010_nppa",999,14281,"Tambopata-Candamo Reserve permanent plot TAM-06","terra firma, floodplain unmanaged primary forest","woody","2TEB","ANPP",NA,"2007","2008",8.2,"NAC","Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Peru",-12.8385,-69.296,215,24.4,1900,"740","Neotropics","Af","Tropical rainforest","0.96","NAC","NAC","NAC","No disturbance","1904",0,0,0,"tropical","BNPP_root_fine",NA,"2007","2008",4.8
"80","Tambopata-Candamo Reserve permanent plot TAM-06 terra firma, floodplain unmanaged primary forest","Girardin_2010_nppa",999,14280,"Tambopata-Candamo Reserve permanent plot TAM-06","terra firma, floodplain unmanaged primary forest","woody","2TEB","ANPP",NA,"2007","2008",7.2,"NAC","Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Peru",-12.8385,-69.296,215,24.4,1900,"740","Neotropics","Af","Tropical rainforest","0.96","NAC","NAC","NAC","No disturbance","1904",0,0,0,"tropical","BNPP_root_fine",NA,"2007","2008",4.8
"81","Tapajos km 67 TAP67","Luyssaert_2007_cbob",999,5267,"Tapajos km 67","TAP67","woody","2TEB","ANPP","2005",NA,NA,9.84,"NAC","Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Brazil",-2.85,-54.967,NA,25.72,1882.25,"256","Neotropics","Am","Tropical rainforest","NAC","NAC","NAC","NAC","No disturbance","NAC",0,0,0,"tropical","BNPP_root_fine","2005",NA,NA,0.86
"82","Thompson dry chronosequence d131 unmanaged","Bond-Lamberty_2004_corr",131,14666,"Thompson dry chronosequence d131","unmanaged","woody","2TEN","ANPP",NA,"1999","2001",1.11,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Canada",55.88,-98.33,260,0.8,439,"93","Nearctic","Dfc","Boreal coniferous forest","NAC","1870","Initiation of post-disturbance cohort (natural)","1870","Burned","1870",0,0,0,"boreal","BNPP_root_fine",NA,"1999","2001",0.37
"83","Thompson dry chronosequence d71 unmanaged","Bond-Lamberty_2004_corr",71,14742,"Thompson dry chronosequence d71","unmanaged","woody","2TEN","ANPP",NA,"1999","2001",1.47,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Canada",55.88,-98.33,260,0.8,439,"93","Nearctic","Dfc","Boreal coniferous forest","NAC","1930","Initiation of post-disturbance cohort (natural)","1930","Burned","1930",0,0,0,"boreal","BNPP_root_fine",NA,"1999","2001",0.79
"84","Thompson NSA (NOAS) NI","Gower_2001_nppa",53,14762,"Thompson NSA (NOAS)","NI","woody","2TDB","ANPP","1994",NA,NA,3.03,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Canada",55.9,-98.47,259,-1.6,447,"93","Nearctic","Dfc","Boreal coniferous forest","NAC","1941","Initiation of post-disturbance cohort (planted or natural)","1941","NAC","NAC",0,0,0,"boreal","BNPP_root_fine","1994",NA,NA,0.4
"85","Thompson NSA (NOBS) unmanaged","Gower_2001_nppa",114,14824,"Thompson NSA (NOBS)","unmanaged","woody","2TEN","ANPP","1994",NA,NA,1.19,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Canada",55.879,-98.484,259,-0.2,352,"93","Nearctic","Dfc","Boreal coniferous forest","NAC","1880","Initiation of post-disturbance cohort (natural)","1880","Burned","1880",0,0,0,"boreal","BNPP_root_fine","1994",NA,NA,0.78
"86","Thompson NSA (NOJP) NI","Gower_2001_nppa",63,14866,"Thompson NSA (NOJP)","NI","woody","2TEN","ANPP","1994",NA,NA,1.06,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Canada",55.9,-98.47,259,-1.6,447,"93","Nearctic","Dfc","Boreal coniferous forest","NAC","1931","Initiation of post-disturbance cohort (planted or natural)","1931","NAC","NAC",0,0,0,"boreal","BNPP_root_fine","1994",NA,NA,0.86
"87","Thompson wet chronosequence w131 unmanaged","Bond-Lamberty_2004_corr",131,14916,"Thompson wet chronosequence w131","unmanaged","woody","2TEN","ANPP",NA,"1999","2001",0.64,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Canada",55.88,-98.33,260,0.8,439,"93","Nearctic","Dfc","Boreal coniferous forest","NAC","1870","Initiation of post-disturbance cohort (natural)","1870","Burned","1870",0,0,0,"boreal","BNPP_root_fine",NA,"1999","2001",0.13
"88","Thompson wet chronosequence w71 unmanaged","Bond-Lamberty_2004_corr",71,14971,"Thompson wet chronosequence w71","unmanaged","woody","2TEN","ANPP",NA,"1999","2001",0.55,"NAC","Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Canada",55.88,-98.33,260,0.8,439,"93","Nearctic","Dfc","Boreal coniferous forest","NAC","1930","Initiation of post-disturbance cohort (natural)","1930","Burned","1930",0,0,0,"boreal","BNPP_root_fine",NA,"1999","2001",0.42
"89","Tono unmanaged","Girardin_2010_nppa",999,17912,"Tono","unmanaged","woody","2TEB","ANPP","2005","2003","2007",3.619,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Peru",-12.96,-71.56,1000,20.7,NA,"673","Neotropics","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","BNPP_root_fine",NA,"2007","2008",2.42
"90","Tono unmanaged","Girardin_2010_nppa",999,15189,"Tono","unmanaged","woody","2TEB","ANPP",NA,"2007","2008",4.33,"NAC","Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Peru",-12.96,-71.56,1000,20.7,NA,"673","Neotropics","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","BNPP_root_fine",NA,"2007","2008",2.42
"91","Tono unmanaged","Girardin_2010_nppa",999,15188,"Tono","unmanaged","woody","2TEB","ANPP",NA,"2007","2008",3.83,"NAC","Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Peru",-12.96,-71.56,1000,20.7,NA,"673","Neotropics","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","BNPP_root_fine",NA,"2007","2008",2.42
"92","Trocha Union 3 unmanaged upland tropical forest","Girardin_2010_nppa",999,17913,"Trocha Union 3","unmanaged upland tropical forest","woody","2TEB","ANPP","2005","2003","2007",2.068,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Peru",-13.11,-71.6,3020,11.8,1776,"673","Neotropics","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","BNPP_root_fine",NA,"2007","2008",1.31
"93","Trocha Union 3 unmanaged upland tropical forest","Girardin_2010_nppa",999,15223,"Trocha Union 3","unmanaged upland tropical forest","woody","2TEB","ANPP",NA,"2007","2008",2.59,"NAC","Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Peru",-13.11,-71.6,3020,11.8,1776,"673","Neotropics","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","BNPP_root_fine",NA,"2007","2008",1.31
"94","Trocha Union 3 unmanaged upland tropical forest","Girardin_2010_nppa",999,15222,"Trocha Union 3","unmanaged upland tropical forest","woody","2TEB","ANPP",NA,"2007","2008",2.19,"NAC","Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Peru",-13.11,-71.6,3020,11.8,1776,"673","Neotropics","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","BNPP_root_fine",NA,"2007","2008",1.31
"95","Trocha Union 4 unmanaged upland tropical forest","Girardin_2010_nppa",999,15236,"Trocha Union 4","unmanaged upland tropical forest","woody","2TEB","ANPP",NA,"2007","2008",4,"NAC","Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Peru",-13.11,-71.6,2720,13.5,2318,"673","Neotropics","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","BNPP_root_fine",NA,"2007","2008",1.63
"96","Trocha Union 4 unmanaged upland tropical forest","Girardin_2010_nppa",999,17914,"Trocha Union 4","unmanaged upland tropical forest","woody","2TEB","ANPP","2005","2003","2007",3.196,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Peru",-13.11,-71.6,2720,13.5,2318,"673","Neotropics","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","BNPP_root_fine",NA,"2007","2008",1.63
"97","Trocha Union 4 unmanaged upland tropical forest","Girardin_2010_nppa",999,15235,"Trocha Union 4","unmanaged upland tropical forest","woody","2TEB","ANPP",NA,"2007","2008",3.4,"NAC","Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Peru",-13.11,-71.6,2720,13.5,2318,"673","Neotropics","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","BNPP_root_fine",NA,"2007","2008",1.63
"98","Trocha Union 7 unmanaged upland tropical forest","Girardin_2010_nppa",999,15249,"Trocha Union 7","unmanaged upland tropical forest","woody","2TEB","ANPP",NA,"2007","2008",2.53,"NAC","Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Peru",-13.07,-71.56,2020,17.4,1827,"673","Neotropics","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","BNPP_root_fine",NA,"2007","2008",1.8
"99","Trocha Union 7 unmanaged upland tropical forest","Girardin_2010_nppa",999,15248,"Trocha Union 7","unmanaged upland tropical forest","woody","2TEB","ANPP",NA,"2007","2008",2.23,"NAC","Anderson-Teixeira_2016_cdom; Anderson-Teixeira_2018_fagd","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Peru",-13.07,-71.56,2020,17.4,1827,"673","Neotropics","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","BNPP_root_fine",NA,"2007","2008",1.8
"100","Trocha Union 7 unmanaged upland tropical forest","Girardin_2010_nppa",999,17915,"Trocha Union 7","unmanaged upland tropical forest","woody","2TEB","ANPP","2005","2003","2007",2.115,"NAC","","Dr. Kristina J. Anderson-Teixeira, Smithsonian Institution, teixeirak@si.edu","Peru",-13.07,-71.56,2020,17.4,1827,"673","Neotropics","Cfb","Tropical mountain system","NAC","NAC","NAC","NAC","No disturbance","NI",0,0,0,"tropical","BNPP_root_fine",NA,"2007","2008",1.8
