"response","fixed","random","equation","Age.filter","significant","p.value","sample.size","Rsq.R2m","Rsq.R2c"
"ANPP_woody_stem","AnnualWetDays","geographic.area/plot.name","ANPP_woody_stem = 2.46 + AnnualWetDays x 0","age.greater.than.100",FALSE,0.7783,313,0.0003463,0.8739
"ANPP_woody_branch","AnnualWetDays","geographic.area/plot.name","ANPP_woody_branch = 0.12 + AnnualWetDays x 0","age.greater.than.100",TRUE,0.008183,74,0.1241,0.6786
"ANPP_woody","VapourPressure","geographic.area/plot.name","ANPP_woody = 1.4 + VapourPressure x 5.94","age.greater.than.100",TRUE,0.0038,60,0.2046,0.5991
"ANPP_woody_stem","VapourPressure","geographic.area/plot.name","ANPP_woody_stem = 0.92 + VapourPressure x 7.27","age.greater.than.100",TRUE,1.112e-09,313,0.1707,0.8661
"ANPP_woody_branch","VapourPressure","geographic.area/plot.name","ANPP_woody_branch = 0.22 + VapourPressure x 2.04","age.greater.than.100",TRUE,0.0003091,74,0.2314,0.598
"ANPP_woody","SolarRadiation","geographic.area/plot.name","ANPP_woody = -0.7 + SolarRadiation x 0","age.greater.than.100",TRUE,0.02688,60,0.1207,0.5994
"ANPP_woody_stem","SolarRadiation","geographic.area/plot.name","ANPP_woody_stem = 1.3 + SolarRadiation x 0","age.greater.than.100",TRUE,0.01036,313,0.02124,0.8755
"ANPP_woody_branch","SolarRadiation","geographic.area/plot.name","ANPP_woody_branch = 0.45 + SolarRadiation x 0","age.greater.than.100",FALSE,0.799,74,0.001526,0.6563
"ANPP_woody","Aridity","geographic.area/plot.name","ANPP_woody = 1.49 + Aridity x 0","age.greater.than.100",TRUE,0.03048,60,0.1231,0.5513
"ANPP_woody_stem","Aridity","geographic.area/plot.name","ANPP_woody_stem = 2.25 + Aridity x 0","age.greater.than.100",FALSE,0.06183,311,0.01815,0.8724
"ANPP_woody_branch","Aridity","geographic.area/plot.name","ANPP_woody_branch = 0.52 + Aridity x 0","age.greater.than.100",FALSE,0.7584,74,0.001646,0.6531
"ANPP_woody","PotentialEvapotranspiration","geographic.area/plot.name","ANPP_woody = -0.1 + PotentialEvapotranspiration x 0","age.greater.than.100",TRUE,0.003642,60,0.1983,0.6256
"ANPP_woody_stem","PotentialEvapotranspiration","geographic.area/plot.name","ANPP_woody_stem = 1.4 + PotentialEvapotranspiration x 0","age.greater.than.100",TRUE,0.003683,311,0.03864,0.8759
"ANPP_woody_branch","PotentialEvapotranspiration","geographic.area/plot.name","ANPP_woody_branch = 0.19 + PotentialEvapotranspiration x 0","age.greater.than.100",FALSE,0.1614,74,0.03803,0.6665
"ANPP_woody","VapourPressureDeficit","geographic.area/plot.name","ANPP_woody = 0.58 + VapourPressureDeficit x 3.04","age.greater.than.100",TRUE,0.0007732,60,0.242,0.6022
"ANPP_woody_stem","VapourPressureDeficit","geographic.area/plot.name","ANPP_woody_stem = 2.17 + VapourPressureDeficit x 0.53","age.greater.than.100",TRUE,0.0499,313,0.01363,0.8727
"ANPP_woody_branch","VapourPressureDeficit","geographic.area/plot.name","ANPP_woody_branch = 0.3 + VapourPressureDeficit x 0.42","age.greater.than.100",FALSE,0.08167,74,0.04425,0.6623
"woody.mortality_ag","mat","geographic.area/plot.name","woody.mortality_ag = -3.13 + mat x 0.22","age.greater.than.100",TRUE,0.001814,34,0.341,0.4901
"R_auto","mat","geographic.area/plot.name","R_auto = 4.07 + mat x 0.65","age.greater.than.100",TRUE,7.432e-06,15,0.8028,0.9539
"woody.mortality_ag","map","geographic.area/plot.name","woody.mortality_ag = 5.13 + map x -0.34","age.greater.than.100",FALSE,0.3416,34,0.01435,0.7267
"R_auto","map","geographic.area/plot.name","R_auto = -39.18 + map x 7.56","age.greater.than.100",TRUE,0.0005521,15,0.6188,0.9422
"woody.mortality_ag","lat","geographic.area/plot.name","woody.mortality_ag = 2.7 + lat x -0.05","age.greater.than.100",TRUE,0.02072,42,0.07579,0.85
"R_auto","lat","geographic.area/plot.name","R_auto = 23.15 + lat x -0.29","age.greater.than.100",TRUE,1.026e-05,24,0.7198,0.9175
"woody.mortality_ag","AnnualMeanTemp","geographic.area/plot.name","woody.mortality_ag = -2.93 + AnnualMeanTemp x 0.21","age.greater.than.100",FALSE,0.1087,42,0.1798,0.4417
"R_auto","AnnualMeanTemp","geographic.area/plot.name","R_auto = 6.62 + AnnualMeanTemp x 0.55","age.greater.than.100",TRUE,1.672e-05,24,0.7019,0.9196
"woody.mortality_ag","MeanDiurnalRange","geographic.area/plot.name","woody.mortality_ag = 0.44 + MeanDiurnalRange x 0.19","age.greater.than.100",FALSE,0.1193,42,0.05365,0.8746
"R_auto","MeanDiurnalRange","geographic.area/plot.name","R_auto = 28.32 + MeanDiurnalRange x -1.22","age.greater.than.100",FALSE,0.2244,24,0.1004,0.9129
"woody.mortality_ag","TempSeasonality","geographic.area/plot.name","woody.mortality_ag = 2.56 + TempSeasonality x -0.03","age.greater.than.100",TRUE,0.03457,42,0.03807,0.8382
"R_auto","TempSeasonality","geographic.area/plot.name","R_auto = 20.62 + TempSeasonality x -0.13","age.greater.than.100",TRUE,9.723e-05,24,0.6265,0.9097
"woody.mortality_ag","TempRangeAnnual","geographic.area/plot.name","woody.mortality_ag = 3.21 + TempRangeAnnual x -0.07","age.greater.than.100",FALSE,0.303,42,0.02135,0.8047
"R_auto","TempRangeAnnual","geographic.area/plot.name","R_auto = 25.26 + TempRangeAnnual x -0.43","age.greater.than.100",TRUE,0.0001165,24,0.6257,0.911
"woody.mortality_ag","AnnualPre","geographic.area/plot.name","woody.mortality_ag = 9.55 + AnnualPre x -0.93","age.greater.than.100",FALSE,0.1265,42,0.03789,0.8573
"R_auto","AnnualPre","geographic.area/plot.name","R_auto = -52.59 + AnnualPre x 9.26","age.greater.than.100",TRUE,9.726e-05,24,0.6428,0.9167
"woody.mortality_ag","PreSeasonality","geographic.area/plot.name","woody.mortality_ag = 2.1 + PreSeasonality x 0.01","age.greater.than.100",FALSE,0.5723,42,0.008183,0.6992
"R_auto","PreSeasonality","geographic.area/plot.name","R_auto = 15.52 + PreSeasonality x -0.01","age.greater.than.100",FALSE,0.9242,24,0.0005465,0.9094
"woody.mortality_ag","CloudCover","geographic.area/plot.name","woody.mortality_ag = 3.22 + CloudCover x -0.01","age.greater.than.100",FALSE,0.5243,42,0.009483,0.7459
"R_auto","CloudCover","geographic.area/plot.name","R_auto = -18.83 + CloudCover x 0.49","age.greater.than.100",TRUE,0.03198,24,0.2482,0.9052
"woody.mortality_ag","AnnualFrostDays","geographic.area/plot.name","woody.mortality_ag = 2.38 + AnnualFrostDays x -56.66","age.greater.than.100",FALSE,0.06229,42,0.1157,0.8146
"R_auto","AnnualFrostDays","geographic.area/plot.name","R_auto = 20.25 + AnnualFrostDays x -0.06","age.greater.than.100",TRUE,9.815e-05,24,0.6499,0.9154
"woody.mortality_ag","AnnualPET","geographic.area/plot.name","woody.mortality_ag = 3.15 + AnnualPET x 0","age.greater.than.100",FALSE,0.6064,42,0.007597,0.7365
"R_auto","AnnualPET","geographic.area/plot.name","R_auto = -2.59 + AnnualPET x 0.02","age.greater.than.100",TRUE,4.067e-05,24,0.6783,0.91
"woody.mortality_ag","AnnualWetDays","geographic.area/plot.name","woody.mortality_ag = 2.28 + AnnualWetDays x 0","age.greater.than.100",FALSE,0.9359,42,0.0001611,0.7402
"R_auto","AnnualWetDays","geographic.area/plot.name","R_auto = 3.7 + AnnualWetDays x 0.07","age.greater.than.100",TRUE,0.02314,24,0.2927,0.9082
"woody.mortality_ag","VapourPressure","geographic.area/plot.name","woody.mortality_ag = -0.21 + VapourPressure x 9.6","age.greater.than.100",FALSE,0.1577,42,0.09396,0.5953
"R_auto","VapourPressure","geographic.area/plot.name","R_auto = 4.93 + VapourPressure x 59.6","age.greater.than.100",TRUE,2.668e-05,24,0.6977,0.9238
"woody.mortality_ag","SolarRadiation","geographic.area/plot.name","woody.mortality_ag = 0.49 + SolarRadiation x 0","age.greater.than.100",FALSE,0.2217,42,0.03923,0.7945
"R_auto","SolarRadiation","geographic.area/plot.name","R_auto = -23.12 + SolarRadiation x 0","age.greater.than.100",TRUE,0.008138,24,0.3422,0.9063
"woody.mortality_ag","Aridity","geographic.area/plot.name","woody.mortality_ag = 3.56 + Aridity x 0","age.greater.than.100",TRUE,0.02847,42,0.1103,0.9352
"R_auto","Aridity","geographic.area/plot.name","R_auto = 8.32 + Aridity x 0","age.greater.than.100",FALSE,0.05909,24,0.2674,0.913
"woody.mortality_ag","PotentialEvapotranspiration","geographic.area/plot.name","woody.mortality_ag = 1.04 + PotentialEvapotranspiration x 0","age.greater.than.100",FALSE,0.2359,42,0.02751,0.7507
"R_auto","PotentialEvapotranspiration","geographic.area/plot.name","R_auto = -5.62 + PotentialEvapotranspiration x 0.02","age.greater.than.100",TRUE,0.002752,24,0.4257,0.9146
"woody.mortality_ag","VapourPressureDeficit","geographic.area/plot.name","woody.mortality_ag = 0.82 + VapourPressureDeficit x 2","age.greater.than.100",FALSE,0.07239,42,0.07653,0.8319
"R_auto","VapourPressureDeficit","geographic.area/plot.name","R_auto = 4.04 + VapourPressureDeficit x 18.54","age.greater.than.100",TRUE,0.01032,24,0.3353,0.9048
